"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","GNI_Constant Prices","GNI_Current Prices","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices"
"Japan","Donor","DAC","Non-EU","2018-01-02",2012,1877.72,2761.87,1172.35,1724.33,2283.8,3359.13,4352.587,6402.09,2546.72,3745.88,3986.45,5863.55,4163891.766,6124543.94,4352.669,6402.21,0.082,0.12,0.51,0.75,2857.016,4202.3,2044.33,3006.9,3136.01,4612.66,1091.68,1605.76,1137.62,1673.26,2213.63,3255.94,7209.603,10604.39
"Japan","Donor","DAC","Non-EU","2018-01-02",2013,2063.1,2467.89,1548.62,1852.47,2542.72,3041.61,5281.144,6317.3,3632.67,4345.41,5055.51,6047.41,4264020.082,5100617.88,7104.945,8498.93,1823.801,2181.63,0.527,0.63,2482.998,2970.16,2742.22,3280.27,3925.63,4695.88,1183.41,1415.61,1463.5,1750.67,2420.62,2895.58,7764.142,9287.46
"Japan","Donor","DAC","Non-EU","2018-01-02",2014,1919.82,2152.34,1389.39,1557.67,2611.1,2927.37,5471.948,6134.74,2617.12,2934.08,4268.7,4785.71,4269282.777,4786401.19,5466.498,6128.63,-5.45,-6.11,0.508,0.57,2992.226,3354.66,2054.56,2303.37,3255.1,3649.32,1200.54,1345.95,1069.52,1199.05,2232.01,2502.35,8464.174,9489.4
"Japan","Donor","DAC","Non-EU","2018-01-02",2015,2306.59,2306.59,1783.51,1783.51,3034.06,3034.06,6140.17,6140.17,3131.01,3131.01,4753.45,4753.45,4553329.15,4553329.15,6165.83,6165.83,25.66,25.66,0.22,0.22,3036.81,3036.81,2480.59,2480.59,3660.38,3660.38,1179.79,1179.79,1418.8,1418.8,2639.2,2639.2,9176.98,9176.98
"Japan","Donor","DAC","Non-EU","2018-01-02",2016,1997.79,2230.38,1338.86,1494.71,2685.02,2997.63,6299.723,7033.15,3211.74,3585.65,4840.33,5403.86,4567922.381,5099730,6313.445,7048.47,13.722,15.32,0.215,0.24,3017.084,3368.34,2300.49,2568.29,3562.9,3977.69,1262.41,1409.4,993.03,1108.63,2210.95,2468.36,9316.807,10401.49
"Kazakhstan","Donor","Non-DAC","Non-EU","2018-01-02",2013,0,0,0,0,0,0,4.834,5.35,0.53,0.58,0.53,0.58,186662.211,206591.95,4.834,5.35,0,0,0,0,2.837,3.14,0.48,0.53,0.48,0.53,0,0,0,0,0,0,7.671,8.49
"Kazakhstan","Donor","Non-DAC","Non-EU","2018-01-02",2014,1.41,1.48,0.05,0.05,1.79,1.87,24.396,27.08,13.03,14.46,14.86,16.37,170492.047,189248.15,24.396,27.08,0,0,0,0,5.667,6.29,11.58,12.85,13.11,14.46,1.53,1.61,0.05,0.05,1.61,1.68,30.063,33.37
"Kazakhstan","Donor","Non-DAC","Non-EU","2018-01-02",2015,1.92,1.92,0,0,2.52,2.52,34.03,34.03,14.99,14.99,17.52,17.52,173349.952,173349.952,34.03,34.03,0,0,0,0,8.94,8.94,8.39,8.39,10.51,10.51,2.12,2.12,0,0,2.22,2.22,42.97,42.97
"Kazakhstan","Donor","Non-DAC","Non-EU","2018-01-02",2016,2.27,2.27,0,0,3.16,3.16,13.491,13.4,0,0,3.03,3.03,122006.199,121179.55,13.491,13.4,0,0,0,0,10.994,10.92,0,0,2.48,2.48,2.48,2.48,0,0,2.62,2.62,24.485,24.32
"Korea","Donor","DAC","Non-EU","2018-01-02",2007,113.49,118.02,67.49,70.17,142.4,148.07,471.748,490.52,180.58,187.8,290.24,301.82,934138.308,971310.1,471.748,490.52,0,0,0,0,197.722,205.59,116.04,120.66,204.14,212.26,88.1,91.6,50.56,52.56,122.48,127.35,669.47,696.11
"Korea","Donor","DAC","Non-EU","2018-01-02",2008,133.66,119.8,104.58,93.73,186.36,167.01,590.065,528.89,176.39,158.1,315.58,282.85,1042860.457,934741.2,601.59,539.22,11.525,10.33,0,0,293.554,263.12,148.53,133.14,250.64,224.65,102.11,91.51,84.77,75.97,159.9,143.29,883.619,792.01
"Korea","Donor","DAC","Non-EU","2018-01-02",2009,158.68,128.38,117.42,95.01,212.86,172.22,718.53,581.1,215.77,174.53,355,287.15,1035247.292,837240.76,718.53,581.1,0,0,0,0,290.503,234.94,199.06,161.02,310.77,251.38,111.71,90.36,92.31,74.7,181.83,147.12,1009.033,816.04
"Korea","Donor","DAC","Non-EU","2018-01-02",2010,195.81,180.15,149.44,137.52,268.01,246.59,976.536,898.27,398.64,366.75,551.63,507.48,1102985.76,1014584.44,979.102,900.63,2.566,2.36,0,0,296.95,273.15,362.24,333.26,484.91,446.12,122.67,112.86,124.8,114.85,235.85,217.01,1273.486,1171.42
"Korea","Donor","DAC","Non-EU","2018-01-02",2011,218.22,212.75,182.93,178.36,308.25,300.54,1014.898,989.57,379.27,369.81,529.33,516.11,1146188.088,1117583.36,1014.898,989.57,0,0,0,0,343.595,335.02,355.6,346.73,485.04,472.91,129.44,126.18,152.77,148.96,270.03,263.28,1358.493,1324.59
"Korea","Donor","DAC","Non-EU","2018-01-02",2012,321.54,311.53,269.41,261.01,436.4,422.82,1221.124,1183.17,444.02,430.19,662.03,641.43,1171901.443,1135477.07,1221.124,1183.17,0,0,0,0,427.569,414.28,430.39,417,596.22,577.69,165.83,160.69,238.23,230.8,396.97,384.63,1648.693,1597.45
"Korea","Donor","DAC","Non-EU","2018-01-02",2013,369.66,371.5,270.34,271.72,442.42,444.63,1302.908,1309.58,564.73,567.61,798.9,802.95,1307997.179,1314695.72,1302.908,1309.58,0,0,0,0,443.529,445.8,512.68,515.31,707.52,711.11,194.84,195.8,249.7,250.98,412.98,415.05,1746.437,1755.38
"Korea","Donor","DAC","Non-EU","2018-01-02",2014,408.21,429.1,316.55,332.72,484.13,508.88,1327.944,1395.77,562.53,591.29,789.82,830.23,1351918.972,1420969.41,1327.944,1395.77,0,0,0,0,438.56,460.96,515.66,542,679.66,714.39,164,172.39,298.1,313.33,455.7,479,1766.504,1856.73
"Korea","Donor","DAC","Non-EU","2018-01-02",2015,418.26,418.26,358.76,358.76,509.87,509.87,1468.79,1468.79,633,633,833.15,833.15,1386121.93,1386121.93,1468.79,1468.79,0,0,0,0,446.6,446.6,580.13,580.13,728.3,728.3,148.17,148.17,341.48,341.48,486.89,486.89,1915.39,1915.39
"Korea","Donor","DAC","Non-EU","2018-01-02",2016,484.44,480.88,418.74,415.64,602.66,598.23,1560.031,1548.47,615.87,611.32,846.52,840.29,1422924.568,1412380,1560.031,1548.47,0,0,0,0,702.899,697.69,582.02,577.71,763.19,757.56,181.17,179.85,394.39,391.47,564.95,560.79,2262.93,2246.16
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",2007,123.77,129.55,171.2,179.2,171.2,179.2,104.179,109.05,103.59,108.42,103.59,108.42,0,0,104.179,109.05,0,0,0,0,0.974,1.02,89.43,93.61,89.43,93.61,0,0,89.99,94.2,89.99,94.2,105.153,110.07
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",2008,197.92,216.71,257.76,282.23,257.8,282.27,257.737,282.19,182.08,199.37,182.13,199.42,0,0,257.737,282.19,0,0,0,0,0.904,0.99,156.52,171.37,156.57,171.42,0.05,0.05,160.42,175.65,160.46,175.69,258.641,283.18
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",2009,111.16,117.38,146.18,154.37,146.18,154.37,208.57,220.24,100.8,106.44,100.8,106.44,0,0,208.57,220.24,0,0,0,0,0.833,0.88,66.75,70.49,66.75,70.49,0,0,68.94,72.8,68.94,72.8,209.403,221.12
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",2010,86.38,92.03,122.91,130.92,122.91,130.92,197.709,210.58,62.49,66.58,62.49,66.58,0,0,197.709,210.58,0,0,0,0,20.383,21.71,65.75,70.03,65.75,70.03,0,0,53.44,56.92,53.44,56.92,218.092,232.29
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",2011,119.23,134.63,150.91,170.38,150.91,170.38,127.919,144.42,96.65,109.14,96.65,109.14,0,0,127.919,144.42,0,0,0,0,27.219,30.73,41.79,47.18,41.79,47.18,0,0,47.95,54.13,47.95,54.13,155.138,175.15
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",2012,122.43,134.85,107.68,118.63,107.68,118.63,135.178,148.92,161.76,178.16,161.76,178.16,0,0,135.178,148.92,0,0,0,0,27.976,30.82,31.3,34.48,31.3,34.48,0,0,39.14,43.12,39.14,43.12,163.154,179.74
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",2013,58.7,64.97,149.07,164.99,149.07,164.99,167.578,185.47,69.11,76.49,69.11,76.49,0,0,167.578,185.47,0,0,0,0,41.174,45.57,54.88,60.74,54.88,60.74,0,0,59.65,66.02,59.65,66.02,208.752,231.04
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",2014,51.73,57.45,102.78,114.09,122.26,135.7,206.223,228.91,46.34,51.44,61.74,68.54,0,0,206.223,228.91,0,0,0,0,43.171,47.92,41.36,45.91,53.93,59.85,12.57,13.94,44.52,49.41,61.85,68.64,249.394,276.83
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",2015,95.4,95.4,192.75,192.75,192.75,192.75,304.27,304.27,126.24,126.24,126.24,126.24,0,0,304.27,304.27,0,0,0,0,0.19,0.19,100.64,100.64,100.64,100.64,0,0,102.02,102.02,102.02,102.02,304.46,304.46
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",2016,94.74,94.09,418.78,415.94,423.14,420.29,1055.3,1048.15,435.19,432.22,438.24,435.27,0,0,1055.3,1048.15,0,0,0,0,32.158,31.94,225.23,223.7,227.91,226.38,2.68,2.68,138.12,137.18,141.6,140.66,1087.458,1080.09
"Latvia","Donor","Non-DAC","EU","2018-01-02",2007,4.19,4.58,0,0,6.05,6.59,1.337,1.46,0.1,0.11,6.06,6.61,24129.83,26345,1.337,1.46,0,0,0,0,13.125,14.33,0.1,0.11,4.55,4.95,4.45,4.84,0,0,4.87,5.31,14.462,15.79
"Latvia","Donor","Non-DAC","EU","2018-01-02",2008,0,0,0,0,0,0,3.276,4.25,0.53,0.69,0.53,0.69,25543.86,33135.2,3.276,4.25,0,0,0,0,13.545,17.57,0.48,0.63,0.48,0.63,0,0,0,0,0,0,16.821,21.82
"Latvia","Donor","Non-DAC","EU","2018-01-02",2009,0,0,0,0,0,0,1.78,2,0.16,0.18,0.16,0.18,25059.394,28162.9,1.78,2,0,0,0,0,16.888,18.98,0.12,0.14,0.12,0.14,0,0,0,0,0,0,18.668,20.98
"Latvia","Donor","Non-DAC","EU","2018-01-02",2010,0,0,0,0,0,0,1.524,1.6,0.22,0.24,0.22,0.24,23367.677,24535.4,1.524,1.6,0,0,0,0,13.372,14.04,0.22,0.24,0.22,0.24,0,0,0,0,0,0,14.896,15.64
"Latvia","Donor","Non-DAC","EU","2018-01-02",2011,0.01,0.01,0.01,0.01,0.01,0.01,1.083,1.27,0.14,0.16,0.14,0.16,24090.827,28243.2,1.083,1.27,0,0,0,0,15.234,17.86,0.13,0.15,0.13,0.15,0,0,0,0,0,0,16.317,19.13
"Latvia","Donor","Non-DAC","EU","2018-01-02",2012,5.14,5.7,0,0,7.9,8.76,1.04,1.16,0.29,0.33,7.11,7.9,25338.392,28269.71,1.04,1.16,0,0,0,0,17.881,19.95,0.24,0.27,4.68,5.2,4.44,4.93,0,0,5.87,6.49,18.921,21.11
"Latvia","Donor","Non-DAC","EU","2018-01-02",2013,4.92,5.76,0.03,0.03,7.42,8.69,1.236,1.45,0.26,0.3,7.35,8.59,26466.211,31040.6,1.236,1.45,0,0,0,0,18.988,22.27,0.19,0.22,5.25,6.15,5.06,5.93,0.03,0.03,5.78,6.76,20.224,23.72
"Latvia","Donor","Non-DAC","EU","2018-01-02",2014,4.45,5.29,0,0,7.11,8.45,1.737,2.07,0.2,0.24,6.51,7.72,26533.624,31613.46,1.737,2.07,0,0,0,0,19.556,23.3,0.18,0.22,4.72,5.59,4.54,5.37,0,0,5.25,6.23,21.293,25.37
"Latvia","Donor","Non-DAC","EU","2018-01-02",2015,4.31,4.31,0.07,0.07,7.03,7.03,2.21,2.21,0.32,0.32,6.69,6.69,27038.95,27038.95,2.21,2.21,0,0,0.36,0.36,20.96,20.96,0.14,0.14,4.61,4.61,4.47,4.47,0.06,0.06,5.21,5.21,23.17,23.17
"Latvia","Donor","Non-DAC","EU","2018-01-02",2016,5.45,5.46,0,0,9.04,9.09,3.354,3.39,0.07,0.07,8.38,8.41,27463.736,27758.61,3.354,3.39,0,0,1.741,1.76,26.505,26.79,0.06,0.06,5.93,5.95,5.87,5.89,0,0,6.15,6.17,29.859,30.18
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2007,0.32,0.32,0,0,0.43,0.43,15.925,16.67,0,0,0.46,0.46,3938.199,4122.35,15.925,16.67,0,0,0,0,1.242,1.3,0,0,0.34,0.34,0.34,0.34,0,0,0.36,0.36,17.167,17.97
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2008,0,0,0,0,0,0,19.052,20.86,0,0,0,0,4121.958,4513.04,19.052,20.86,0,0,0,0,2.585,2.83,0,0,0,0,0,0,0,0,0,0,21.637,23.69
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2009,0,0,0,0,0,0,19.982,21.1,0,0,0,0,3678.2,3884,19.982,21.1,0,0,0,0,4.868,5.14,0,0,0,0,0,0,0,0,0,0,24.85,26.24
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2010,0,0,0,0,0,0,20.467,21.8,0,0,0,0,4024.962,4287,20.467,21.8,0,0,0,0,4.535,4.83,0,0,0,0,0,0,0,0,0,0,25.002,26.63
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2011,0,0,0,0,0,0,22.861,25.81,0,0,0,0,4018.6,4537,22.861,25.81,0,0,0,0,5.004,5.65,0,0,0,0,0,0,0,0,0,0,27.865,31.46
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2012,0,0,0,0,0,0,21.695,23.9,0,0,0,0,3457.514,3809,21.695,23.9,0,0,0,0,4.266,4.7,0,0,0,0,0,0,0,0,0,0,25.961,28.6
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2013,0,0,0,0,0,0,21.423,23.71,0,0,0,0,3971.018,4395,21.423,23.71,0,0,0,0,4.111,4.55,0,0,0,0,0,0,0,0,0,0,25.534,28.26
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2014,0,0,0,0,0,0,20.874,23.17,0,0,0,0,4883.733,5421,20.874,23.17,0,0,0,0,3.748,4.16,0,0,0,0,0,0,0,0,0,0,24.622,27.33
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2015,0,0,0,0,0,0,19.05,19.05,0,0,0,0,0,0,19.05,19.05,0,0,0,0,5.17,5.17,0,0,0,0,0,0,0,0,0,0,24.22,24.22
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2016,0,0,0,0,0,0,18.989,18.86,0,0,0,0,0,0,18.989,18.86,0,0,0,0,5.749,5.71,0,0,0,0,0,0,0,0,0,0,24.738,24.57
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2007,7.6,7.75,0.4,0.41,11.11,11.33,23.188,23.76,18.2,18.64,28.89,29.55,41404.035,42424.56,23.188,23.76,0,0,0,0,23.267,23.84,18.08,18.52,26.1,26.71,8.02,8.19,0.4,0.41,9.11,9.29,46.455,47.6
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2008,8.9,10.71,0.04,0.04,12.53,15.1,12.358,14.87,8.4,10.09,20.98,25.25,36143.591,43491.88,12.358,14.87,0,0,0,0,27.399,32.97,8.38,10.07,18.41,22.16,10.03,12.09,0.04,0.04,10.83,13.06,39.757,47.84
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2009,6.53,7.2,0.03,0.03,10.96,12.09,7.179,7.93,5.38,5.94,15.19,16.78,29557.698,32650.98,7.179,7.93,0,0,0,0,25.601,28.28,5.36,5.92,13,14.35,7.64,8.43,0.03,0.03,9.4,10.36,32.78,36.21
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2010,5.56,5.94,0.01,0.01,8.07,8.62,15.236,16.4,12.15,13.07,20.39,21.89,32607.667,35098.15,15.236,16.4,0,0,0,0,18.897,20.34,12.11,13.03,18.61,19.98,6.5,6.95,0.01,0.01,6.96,7.44,34.133,36.74
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2011,5.89,7.02,0.04,0.04,9.89,11.77,17.274,20.55,12.22,14.53,20.78,24.72,34714.707,41297.85,17.274,20.55,0,0,0,0,26.168,31.13,12.1,14.39,18.74,22.29,6.64,7.9,0,0,7.76,9.24,43.442,51.68
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2012,7.28,8.16,0,0,11.35,12.72,19.627,22.06,15.4,17.31,25.07,28.17,36318.798,40820.6,19.627,22.06,0,0,0,0,26.558,29.85,15.4,17.31,21.73,24.41,6.33,7.1,0,0,8.24,9.22,46.185,51.91
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2013,6.73,7.94,0.02,0.02,10.55,12.46,14.985,17.71,8.73,10.32,18.22,21.51,37466.197,44280.1,14.985,17.71,0,0,0,0,27.668,32.7,8.73,10.32,15.62,18.42,6.89,8.1,0,0,8.03,9.47,42.653,50.41
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2014,7.67,9.15,0.03,0.04,12.33,14.72,5.392,6.44,0.19,0.23,11,13.1,39107.538,46706.67,5.392,6.44,0,0,0,0,32.764,39.13,0.08,0.1,7.85,9.33,7.77,9.23,0.02,0.03,9.02,10.76,38.156,45.57
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2015,8.66,8.66,0.03,0.03,13.68,13.68,9.81,9.81,0.15,0.15,12.98,12.98,39615.03,39615.03,9.81,9.81,0,0,0.8,0.8,38.3,38.3,0.06,0.06,9.09,9.09,9.03,9.03,0.02,0.02,10.36,10.36,48.11,48.11
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2016,9.53,9.53,0.02,0.02,15.51,15.51,13.893,13.88,0.21,0.21,14.67,14.67,41112.013,41074.09,13.893,13.88,0,0,1.481,1.48,43.25,43.21,0.07,0.07,10.3,10.3,10.23,10.23,0.02,0.02,10.74,10.74,57.143,57.09
"Luxembourg","Donor","DAC","EU","2018-01-02",2007,100.71,102.04,129.81,131.49,173.79,176.05,250.174,253.45,92.51,93.71,146.39,148.32,40116.642,40642.03,250.174,253.45,0,0,0,0,120.502,122.08,103.72,105.1,144.24,146.15,40.52,41.05,116.34,117.85,154.35,156.36,370.676,375.53
"Luxembourg","Donor","DAC","EU","2018-01-02",2008,104.52,115.23,124,136.73,173.01,190.75,252.586,278.53,94.41,104.1,147.31,162.38,38871.112,42863.7,252.586,278.53,0,0,0,0,123.713,136.42,106.68,117.61,148.29,163.45,41.61,45.84,114.25,125.99,156.2,172.23,376.299,414.95
"Luxembourg","Donor","DAC","EU","2018-01-02",2009,103.34,112.03,123.97,134.36,173.55,188.1,245.453,266,90.51,98.13,144.79,156.95,36697.486,39769.42,245.453,266,0,0,0,0,137.242,148.73,100.27,108.7,141.18,153.02,40.91,44.32,117.09,126.9,163.4,177.09,382.695,414.73
"Luxembourg","Donor","DAC","EU","2018-01-02",2010,98.43,105.62,118.31,126.95,171.86,184.4,244.157,262.01,89.96,96.53,149.11,159.99,35855.955,38477.83,244.157,262.01,0,0,0,0,131.103,140.69,95.69,102.7,142.56,152.99,46.87,50.29,105.59,113.3,153.51,164.72,375.26,402.7
"Luxembourg","Donor","DAC","EU","2018-01-02",2011,89.62,106.25,105.36,124.89,147.59,174.99,235.995,279.719,91.72,108.72,135.23,160.32,35486.792,42061.6,235.995,279.719,0,0,0,0,109.272,129.517,92.54,109.68,128.03,151.75,35.49,42.07,98.89,117.22,136.79,162.17,345.267,409.236
"Luxembourg","Donor","DAC","EU","2018-01-02",2012,91.84,103.12,97.12,109,143.42,160.96,246.467,276.64,83.51,93.79,132.12,148.35,35416.278,39752.01,246.467,276.64,0,0,0.027,0.03,109.041,122.39,93.76,105.23,129.78,145.67,36.02,40.44,90.97,102.1,131.74,147.84,355.508,399.03
"Luxembourg","Donor","DAC","EU","2018-01-02",2013,98.01,115.11,106.71,125.33,149.07,175.07,254.436,298.813,100.39,117.91,148.73,174.66,36496.934,42862.45,254.436,298.813,0,0,0.293,0.344,111.127,130.509,102.33,120.17,138.48,162.58,36.15,42.41,99.32,116.65,136.43,160.22,365.563,429.322
"Luxembourg","Donor","DAC","EU","2018-01-02",2014,99.59,118.66,117.04,139.45,155.61,185.41,252.152,300.43,103.43,123.22,146.9,175.04,33373.863,39763.83,252.152,300.43,0,0,0,0,103.058,122.79,113.49,135.22,144.58,172.27,31.09,37.05,106.77,127.21,140.41,167.31,355.21,423.22
"Luxembourg","Donor","DAC","EU","2018-01-02",2015,106.84,106.84,127.91,127.91,168.06,168.06,262.68,262.68,115.2,115.2,158.31,158.31,38105.77,38105.77,262.68,262.68,0,0,0,0,100.2,100.2,121.43,121.43,153.99,153.99,32.56,32.56,120.91,120.91,156.5,156.5,362.88,362.88
"Luxembourg","Donor","DAC","EU","2018-01-02",2016,117.1,115.08,124.97,122.74,171.53,168.53,279.816,274.83,123.68,121.52,173.62,170.62,39782.811,39073.95,279.816,274.83,0,0,0,0,118.308,116.2,128.81,126.52,167.27,164.34,38.46,37.82,118.08,115.97,157.53,154.78,398.124,391.03
"Malta","Donor","Non-DAC","EU","2018-01-02",2009,0,0,0,0,0,0,7.159,7.56,0,0,0,0,7121.388,7519.84,7.159,7.56,0,0,0,0,5.805,6.13,0,0,0,0,0,0,0,0,0,0,12.964,13.69
"Malta","Donor","Non-DAC","EU","2018-01-02",2010,0,0,0,0,0,0,7.887,8.4,0,0,0,0,7212.558,7682.12,7.887,8.4,0,0,0,0,5.07,5.4,0,0,0,0,0,0,0,0,0,0,12.957,13.8
"Malta","Donor","Non-DAC","EU","2018-01-02",2011,0,0,0,0,0,0,11.78,13.3,0,0,0,0,7143.064,8064.52,11.78,13.3,0,0,0,0,5.899,6.66,0,0,0,0,0,0,0,0,0,0,17.679,19.96
"Malta","Donor","Non-DAC","EU","2018-01-02",2012,1.59,1.72,0.55,0.61,3.02,3.28,10.666,11.75,0,0,2.12,2.29,7196.902,7928.53,10.666,11.75,0,0,0,0,6.2,6.83,0,0,1.39,1.49,1.39,1.49,0,0,1.78,1.92,16.866,18.58
"Malta","Donor","Non-DAC","EU","2018-01-02",2013,1.31,1.36,0.34,0.38,2.48,2.64,10.815,11.97,0,0,1.84,1.92,8083.313,8946.36,10.815,11.97,0,0,0,0,5.683,6.29,0,0,1.33,1.38,1.33,1.38,0,0,1.58,1.65,16.498,18.26
"Malta","Donor","Non-DAC","EU","2018-01-02",2014,1.83,1.96,0.33,0.35,2.73,2.94,11.558,12.83,0.47,0.5,2.74,2.95,9118.553,10121.7,11.558,12.83,0,0,9.649,10.71,6.829,7.58,0.28,0.3,1.83,1.96,1.55,1.66,0.32,0.34,2.09,2.24,18.387,20.41
"Malta","Donor","Non-DAC","EU","2018-01-02",2015,2.04,2.04,0.29,0.29,3.13,3.13,8.02,8.02,0.35,0.35,2.95,2.95,9503.61,9503.61,8.02,8.02,0,0,2.59,2.59,8.55,8.55,0.23,0.23,2.06,2.06,1.83,1.83,0.27,0.27,2.36,2.36,16.57,16.57
"Malta","Donor","Non-DAC","EU","2018-01-02",2016,1.7,1.69,1.81,1.79,1.81,1.79,10.692,10.62,2.25,2.24,2.25,2.24,10387.53,10317.15,10.692,10.62,0,0,5.628,5.59,9.998,9.93,1.04,1.04,1.04,1.04,0,0,1.08,1.07,1.08,1.07,20.69,20.55
"Multilaterals, Total","Group","Group","Group","2018-01-02",2007,10283.08,11026.08,12859.51,13829.92,12945.21,13926.47,10050.396,11326.67,14929.96,15993.91,15073.97,16156.22,0,0,10050.396,11326.67,0,0,0,0,272.905,307.56,11814.87,12639.19,11889.02,12722.76,74.15,83.57,11843.97,12693.76,11925.67,12785.81,10323.301,11634.23
"Multilaterals, Total","Group","Group","Group","2018-01-02",2008,11198.26,12650.04,14436,16353.94,14505.18,16437.69,10525.112,12739.52,15718.71,17763.24,15843.4,17914.15,0,0,10631.259,12868,106.147,128.48,0,0,271.804,328.99,13060.16,14727.57,13122.52,14803.07,62.36,75.5,13367.09,15105.07,13435.2,15187.52,10796.916,13068.51
"Multilaterals, Total","Group","Group","Group","2018-01-02",2009,13257.1,14365.33,17504.24,19065.3,17660.63,19249.9,11013.854,13000.41,18009.56,19546.94,18216.74,19791.53,0,0,11148.287,13159.09,134.433,158.68,0,0,357.685,422.2,14018.69,15214.42,14132.24,15348.47,113.55,134.05,15751.92,17123.07,15906.42,17305.44,11371.539,13422.61
"Multilaterals, Total","Group","Group","Group","2018-01-02",2010,12639.82,13681.15,16302.75,17681,16341.92,17725.28,11036.943,12473.06,17269.67,18717.23,17371.61,18832.44,0,0,11056.87,12495.58,19.927,22.52,0,0,222.207,251.12,13818.96,14972.73,13852.26,15010.36,33.3,37.63,14979.66,16226.2,15018.18,16269.75,11259.15,12724.18
"Multilaterals, Total","Group","Group","Group","2018-01-02",2011,11656.64,13359.82,15895.04,18296.76,15966.67,18382.57,14203.558,17029.81,15748.18,18077.47,15898.85,18258.05,0,0,14216.494,17045.32,12.936,15.51,0,0,287.919,345.21,12060.24,13846.09,12121.82,13919.85,61.58,73.76,14141.64,16228.36,14212.56,16313.33,14491.477,17375.02
"Multilaterals, Total","Group","Group","Group","2018-01-02",2012,13330.11,14766.35,17741.47,19676.93,17819.75,19764.75,15292.694,17164.81,17787.43,19703.14,17931.88,19865.24,0,0,15299.768,17172.75,7.074,7.94,0,0,272.902,306.31,13158.54,14565.49,13219.21,14633.57,60.67,68.08,15234.85,16872.99,15312.3,16959.89,15565.596,17471.12
"Multilaterals, Total","Group","Group","Group","2018-01-02",2013,14585.46,16350.97,18453.39,20761.7,18490.27,20804.97,13396.122,15722.7,19846.86,22263.84,19955.04,22390.79,0,0,13396.122,15722.7,0,0,15.582,18.288,201.457,236.445,15342.93,17196.08,15378.58,17237.91,35.65,41.83,16712.54,18753.45,16748.64,18795.81,13597.579,15959.145
