Donor,Donor_Group_Type,Donor_DAC_Country,Donor_EU_Country,as_of_date,Time_Period,Africa_Fragile_ODA_Constant Prices,Africa_Fragile_ODA_Current Prices,Africa_Fragile_ODA_National currency,Africa_ODA_Bilateral_Constant Prices,Africa_ODA_Bilateral_Current Prices,Africa_ODA_Bilateral_National currency,Africa_ODA_Constant Prices,Africa_ODA_Current Prices,Africa_ODA_National currency,Bilat_ODA_Ex_Debt_Relief_Constant Prices,Bilat_ODA_Ex_Debt_Relief_Current Prices,Bilat_ODA_Ex_Debt_Relief_National currency,Fragile_State_ODA_Bilateral_Constant Prices,Fragile_State_ODA_Bilateral_Current Prices,Fragile_State_ODA_Bilateral_National currency,Fragile_State_ODA_Constant Prices,Fragile_State_ODA_Current Prices,Fragile_State_ODA_National currency,GNI_Constant Prices,GNI_Current Prices,GNI_National currency,IA_Bilateral_ODA_Constant Prices,IA_Bilateral_ODA_Current Prices,IA_Bilateral_ODA_National currency,IA6_Debt_Relief_Constant Prices,IA6_Debt_Relief_Current Prices,IA6_Debt_Relief_National currency,IA82_In_Donor_Refugee_Cost_Constant Prices,IA82_In_Donor_Refugee_Cost_Current Prices,IA82_In_Donor_Refugee_Cost_National currency,IB_Multilateral_ODA_Constant Prices,IB_Multilateral_ODA_Current Prices,IB_Multilateral_ODA_National currency,LDC_ODA_Bilateral_Constant Prices,LDC_ODA_Bilateral_Current Prices,LDC_ODA_Bilateral_National currency,LDC_ODA_Constant Prices,LDC_ODA_Current Prices,LDC_ODA_Imputed_Multilateral_Constant Prices,LDC_ODA_Imputed_Multilateral_Current Prices,LDC_ODA_Imputed_Multilateral_National currency,LDC_ODA_National currency,SSA_ODA_Bilateral_Constant Prices,SSA_ODA_Bilateral_Current Prices,SSA_ODA_Bilateral_National currency,SSA_ODA_Constant Prices,SSA_ODA_Current Prices,SSA_ODA_National currency,Total_ODA_ONE_Constant Prices,Total_ODA_ONE_Current Prices,Total_ODA_ONE_National currency,Release
Turkey,Donor,Non-DAC,Non-EU,2017-05-16,2010,30.49,38.58,57.83142,30.08,38.08,57.08192,36.18,45.78,68.62422,726.05458,920.13,1379.27487,297.54,377.03,565.16797,304.7,386.08,578.73392,581728.599341,737225.48,1105100.99452,726.05458,920.13,1379.27487,0,0,0,52.552612,66.6,99.8334,37.315511,47.29,70.88771,125.5,159.04,238.40096,130.99,165.97,5.49,6.93,10.38807,248.78903,27.2,34.44,51.62556,32.61,41.26,61.84874,763.370091,967.42,1450.16258,Preliminary
Turkey,Donor,Non-DAC,Non-EU,2017-05-16,2011,164.09,202.49,338.502533,218.64,269.78,450.991226,232.48,286.85,479.527145,993.805535,1226.21,2049.855257,620.9,766.12,1280.722804,635.71,784.39,1311.264763,625923.803277,772298,1291050.5666,993.805535,1226.21,2049.855257,0,0,0,173.035191,213.5,356.90795,37.929962,46.8,78.23556,227.03,280.15,468.326755,239.4,295.41,12.37,15.26,25.510142,493.836897,171.25,211.3,353.23021,184.37,227.48,380.278316,1031.735497,1273.01,2128.090817,Preliminary
Turkey,Donor,Non-DAC,Non-EU,2017-05-16,2012,583.49,718.11,1286.565876,608.98,749.47,1342.750452,644.9,793.65,1421.90334,1968.322368,2422.5,4340.151,1587.47,1953.71,3500.266836,1628.96,2004.77,3591.745932,638876.408628,786293,1408722.5388,1968.322368,2422.5,4340.151,0,0,0,90.026881,110.8,198.50928,90.026881,110.8,198.50928,277.65,341.69,612.171804,306.91,377.7,29.26,36.01,64.515516,676.68732,145.87,179.5,321.5922,180.21,221.75,397.2873,2058.349249,2533.3,4538.66028,Preliminary
Turkey,Donor,Non-DAC,Non-EU,2017-05-16,2013,635.87,781.44,1488.565056,636.93,782.73,1491.022377,698.33,858.16,1634.708984,2568.550945,3156.67,6013.140683,2132.77,2621.07,4992.876243,2203.66,2708.18,5158.812082,667225.834464,82e4,1562018,2568.550945,3156.67,6013.140683,0,0,0,71.035141,87.3,166.29777,122.867196,151,287.6399,234.14,287.72,548.077828,290.37,356.81,56.23,69.09,131.609541,679.687369,155.38,190.93,363.702557,214.41,263.46,501.864954,2691.418141,3307.67,6300.780583,Preliminary
Turkey,Donor,Non-DAC,Non-EU,2017-05-16,2014,151.51,175.47,384.10383,331.01,383.29,839.02181,361.83,418.99,917.16911,3024.685313,3502.35,7666.64415,2293.21,2655.37,5812.60493,2322.31,2689.1,5886.4399,690985.164797,800107,1751434.223,3024.685313,3502.35,7666.64415,0,0,0,99.868548,115.64,253.13596,76.628643,88.73,194.22997,182.94,211.86,463.76154,207.13,239.87,24.19,28.01,61.31389,525.07543,132.68,153.64,336.31796,160.29,185.61,406.30029,3101.313956,3591.08,7860.87412,Preliminary
Turkey,Donor,Non-DAC,Non-EU,2017-05-16,2015,209.56,209.56,570.63188,183.44,183.44,499.50712,218.82,218.82,595.84686,3845.9,3845.9,10472.3857,2977.74,2977.74,8108.38602,3010.28,3010.28,8196.99244,782998,782998,2132103.554,3845.9,3845.9,10472.3857,0,0,0,0,0,0,73.24,73.24,199.43252,456.24,456.24,1242.34152,484.13,484.13,27.89,27.89,75.94447,1318.28599,395.77,395.77,1077.68171,429.52,429.52,1169.58296,3919.14,3919.14,10671.81822,Preliminary
Turkey,Donor,Non-DAC,Non-EU,2017-05-16,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,6362.540234,6125.54,18514.44465,NA,NA,NA,NA,NA,NA,813292.587721,782998,2366611.455,6362.540234,6125.54,18514.44465,0,0,0,99.651967,95.94,289.97865,58.717174,56.53,170.861925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6421.257408,6182.07,18685.306575,Preliminary
United Arab Emirates,Donor,Non-DAC,Non-EU,2017-05-16,2007,118.56,124.1,455.75725,350.45,366.83,1347.183175,350.45,366.83,1347.183175,2308.246222,2416.18,8873.42105,1229.06,1286.52,4724.7447,1229.06,1286.52,4724.7447,0,0,0,2308.246222,2416.18,8873.42105,0,0,0,0,0,0,8.989644,9.41,34.558225,1037.12,1085.61,3986.902725,1037.12,1085.61,0,0,0,3986.902725,83.21,87.09,319.838025,83.21,87.09,319.838025,2317.235866,2425.59,8907.979275,Preliminary
United Arab Emirates,Donor,Non-DAC,Non-EU,2017-05-16,2008,395.41,432.93,1589.935425,714.96,782.81,2874.869725,714.96,782.81,2874.869725,1149.342971,1258.39,4621.437275,622.53,681.6,2503.176,622.53,681.6,2503.176,0,0,0,1149.342971,1258.39,4621.437275,0,0,0,0,0,0,6.722212,7.36,27.0296,127.03,139.08,510.7713,127.03,139.08,0,0,0,510.7713,79.74,87.31,320.645975,79.74,87.31,320.645975,1156.065183,1265.75,4648.466875,Preliminary
United Arab Emirates,Donor,Non-DAC,Non-EU,2017-05-16,2009,76.26,80.53,295.746425,80.88,85.4,313.6315,80.88,85.4,313.6315,896.471174,946.63,3476.498675,693.76,732.59,2690.436775,693.76,732.59,2690.436775,242555.289547,256126.6,940624.9385,896.471174,946.63,3476.498675,0,0,0,0,0,0,0,0,0,190.11,200.74,737.21765,190.11,200.74,0,0,0,737.21765,26.03,27.48,100.9203,26.03,27.48,100.9203,896.471174,946.63,3476.498675,Preliminary
United Arab Emirates,Donor,Non-DAC,Non-EU,2017-05-16,2010,85.22,90.75,333.279375,87.32,93,341.5425,92.47,98.45,361.557625,358.077927,381.39,1400.654775,316.06,336.64,1236.3104,322.73,343.71,1262.274975,268434.701665,285910.7,1050007.04575,358.077927,381.39,1400.654775,0,0,0,0,0,0,30.44775,32.43,119.099175,141.53,150.74,553.59265,146.48,155.99,4.95,5.25,19.280625,572.873275,74.85,79.73,292.808425,79.52,84.68,310.9873,388.525677,413.82,1519.75395,Preliminary
United Arab Emirates,Donor,Non-DAC,Non-EU,2017-05-16,2011,96.96,109.47,402.028575,111.23,125.58,461.19255,121.6,137.29,504.197525,588.520794,664.44,2440.1559,282.52,318.96,1171.3806,293.23,331.05,1215.781125,307809.32479,347516.74,1276255.22765,588.520794,664.44,2440.1559,0,0,0,0,0,0,47.263063,53.36,195.9646,120.24,135.75,498.541875,128.67,145.28,8.43,9.53,34.998925,533.5408,34.8,39.29,144.292525,43.35,48.94,179.73215,635.783857,717.8,2636.1205,Preliminary
United Arab Emirates,Donor,Non-DAC,Non-EU,2017-05-16,2012,141.82,156.23,573.754675,159.73,175.97,646.249825,163.93,180.57,663.143325,631.184589,695.35,2553.672875,472.75,520.82,1912.71145,477.41,525.94,1931.51465,338181.867595,372561,1368230.2725,631.184589,695.35,2553.672875,0,0,0,0,0,0,57.912672,63.8,234.3055,258.91,285.23,1047.507175,262.3,288.98,3.39,3.75,13.771875,1061.27905,148.35,163.44,600.2334,152.06,167.51,615.180475,689.097261,759.15,2787.978375,Preliminary
United Arab Emirates,Donor,Non-DAC,Non-EU,2017-05-16,2013,4216.73,4666.94,17139.33715,4301.91,4761.22,17485.58045,4309.38,4769.45,17515.805125,4862.134692,5381.26,19762.67735,4503.88,4984.79,18306.641275,4513.34,4995.19,18344.835275,363785.032253,402626,1478643.985,4862.134692,5381.26,19762.67735,0,0,0,0,0,0,18.648878,20.64,75.8004,149.97,165.98,609.56155,156.23,172.88,6.26,6.9,25.34025,634.9018,53.47,59.18,217.33855,60.61,67.05,246.241125,4880.78357,5401.9,19838.47775,Preliminary
United Arab Emirates,Donor,Non-DAC,Non-EU,2017-05-16,2014,2953.67,3278.55,12040.474875,3411.63,3786.94,13907.53715,3420.09,3796.24,13941.6914,4459.331776,4949.91,18178.544475,3301.26,3664.44,13457.6559,3311.14,3675.34,13497.68615,363281.410753,403246.58,1480923.06505,4459.331776,4949.91,18178.544475,0,0,0,0,0,0,117.530303,130.46,479.11435,181.27,201.21,738.943725,188.89,209.62,7.62,8.41,30.885725,769.82945,57.77,64.13,235.517425,65.42,72.55,266.439875,4576.862079,5080.37,18657.658825,Preliminary
United Arab Emirates,Donor,Non-DAC,Non-EU,2017-05-16,2015,2744.1,2744.1,10077.70725,2834.68,2834.68,10410.3623,2840.54,2840.54,10431.88315,4352.83,4352.83,15985.768175,3924.85,3924.85,14414.011625,3931.6,3931.6,14438.801,370569,370569,1360914.6525,4352.83,4352.83,15985.768175,0,0,0,0,0,0,28.54,28.54,104.81315,1199.34,1199.34,4404.57615,1203.94,1203.94,4.6,4.6,16.8935,4421.46965,243.52,243.52,894.3272,248.57,248.57,912.873325,4381.37,4381.37,16090.581325,Preliminary
United Arab Emirates,Donor,Non-DAC,Non-EU,2017-05-16,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,4077.839278,4050.21,14874.396225,NA,NA,NA,NA,NA,NA,373096.9069,370569,1360914.6525,4077.839278,4050.21,14874.396225,0,0,0,0,0,0,96.211881,95.56,350.9441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4174.051159,4145.77,15225.340325,Preliminary
United Kingdom,Donor,DAC,EU,2017-05-16,2007,3172.09,3637.9,1817.85863,2096.79,2404.71,1201.633587,3854.77,4420.83,2209.088751,4823.112756,5531.33,2764.005601,2557.82,2933.41,1465.824977,4480.45,5138.36,2567.638492,2416923.386255,2771820.09,1385078.498973,4884.324529,5601.53,2799.084541,61.211773,70.2,35.07894,0,0,0,3703.23378,4247.01,2122.230897,2012.62,2308.14,1153.377558,3530.99,4049.48,1518.37,1741.34,870.147598,2023.525156,2007.84,2302.69,1150.654193,3567.48,4091.34,2044.442598,8526.346536,9778.34,4886.236498,Preliminary
United Kingdom,Donor,DAC,EU,2017-05-16,2008,3267.69,3483.81,1925.501787,2417.43,2577.32,1424.484764,4308.29,4593.26,2538.694802,6353.830445,6774.12,3744.056124,2968.33,3164.67,1749.113109,4916,5241.16,2896.789132,2506310.95176,2672096.98,1476868.000846,6869.049996,7323.42,4047.654234,515.219551,549.3,303.59811,0,0,0,3917.328769,4176.45,2308.323915,2393.77,2552.13,1410.562251,4006.05,4271.04,1612.28,1718.91,950.041557,2360.603808,2194.79,2339.96,1293.295892,3918.77,4177.98,2309.169546,10271.159214,10950.57,6052.380039,Preliminary
United Kingdom,Donor,DAC,EU,2017-05-16,2009,3640.55,3402.17,2178.069234,2970.64,2776.14,1777.284828,4823.54,4507.71,2885.835942,7863.889756,7348.94,4704.791388,3488.02,3259.65,2086.82793,5361.38,5010.35,3207.62607,2378720.69274,2222955.33,1423136.002266,7909.464093,7391.53,4732.057506,45.574337,42.59,27.266118,12.295119,11.49,7.355898,4163.733022,3891.08,2491.069416,2719.1,2541.07,1626.793014,4175.5,3902.12,1456.4,1361.05,871.34421,2498.137224,2659.39,2485.27,1591.069854,4304.11,4022.29,2575.070058,12027.622778,11240.02,7195.860804,Preliminary
United Kingdom,Donor,DAC,EU,2017-05-16,2010,4560.6,4278.87,2770.568325,3118.82,2926.21,1894.720975,5739.83,5385.29,3486.975275,8369.938417,7852.93,5084.772175,3629.17,3405.03,2204.756925,6413.92,6017.72,3896.4737,2429669.071023,2279589.19,1476034.000525,8544.522415,8016.73,5190.832675,174.583998,163.8,106.0605,19.259663,18.07,11.700325,5367.79711,5036.23,3260.958925,2685.93,2520.04,1631.7259,4892.98,4590.73,2207.05,2070.69,1340.771775,2972.497675,2912.78,2732.88,1769.5398,5347.59,5017.26,3248.67585,13737.735527,12889.16,8345.7311,Preliminary
United Kingdom,Donor,DAC,EU,2017-05-16,2011,4440.9,4411.87,2752.124506,3284.21,3262.73,2035.290974,5673.63,5636.54,3516.073652,8346.486123,8291.94,5172.512172,4164.4,4137.18,2580.772884,6499.01,6456.55,4027.59589,2475325.567153,2459148.77,1534017.002726,8529.280726,8473.54,5285.794252,182.794603,181.6,113.28208,31.505898,31.3,19.52494,5394.061378,5358.81,3342.825678,3210.7,3189.73,1989.753574,5068.24,5035.16,1857.54,1845.43,1151.179234,3140.932808,3069.6,3049.52,1902.290576,5212.47,5178.4,3230.28592,13740.547501,13650.75,8515.33785,Preliminary
United Kingdom,Donor,DAC,EU,2017-05-16,2012,4503.71,4490.58,2834.005038,3371.98,3362.18,2121.871798,5610.21,5593.88,3530.297668,8577.925782,8552.94,5397.760434,4150.14,4138.07,2611.535977,6433.49,6414.73,4048.336103,2479356.579846,2472134.71,1560164.215481,8690.704283,8665.39,5468.727629,112.778501,112.45,70.967195,45.091342,44.96,28.374256,5241.316908,5226.05,3298.160155,3039.96,3031.13,1912.946143,4616.08,4602.64,1576.12,1571.51,991.779961,2904.726104,3080.24,3071.29,1938.291119,5021.36,5006.74,3159.753614,13819.24269,13778.99,8695.920589,Preliminary
United Kingdom,Donor,DAC,EU,2017-05-16,2013,5670.83,5685.4,3636.38184,3905.32,3915.37,2504.270652,7040.11,7058.19,4514.418324,10453.347857,10480.23,6703.155108,5151.78,5165.04,3303.559584,8584.45,8606.52,5504.730192,2529623.294846,2536128.55,1622107.82058,10517.851976,10544.9,6744.51804,64.504119,64.67,41.362932,50.410363,50.54,32.325384,7307.657409,7326.45,4685.99742,3496.07,3505.06,2241.836376,6131.34,6147.1,2635.27,2642.04,1689.848784,3931.68516,3601.86,3611.12,2309.672352,6487.25,6503.91,4159.900836,17761.005266,17806.68,11389.152528,Preliminary
United Kingdom,Donor,DAC,EU,2017-05-16,2014,5944.22,6378.68,3874.410232,4050.13,4346.17,2639.863658,7554.7,8106.87,4924.112838,10463.091075,11227.87,6819.808238,5021.29,5388.33,3272.871642,8689.11,9324.21,5663.525154,2561877.040259,2749132.37,1669823.001538,10468.048707,11233.19,6823.039606,4.957632,5.32,3.231368,206.804066,221.92,134.794208,7522.647012,8072.5,4903.2365,3547.84,3807.16,2312.468984,6164.08,6614.62,2616.24,2807.46,1705.251204,4017.720188,3674.71,3943.31,2395.166494,6648.56,7134.51,4333.501374,17985.738087,19300.37,11723.044738,Preliminary
United Kingdom,Donor,DAC,EU,2017-05-16,2015,5731.67,5731.67,3751.378015,4203.27,4203.27,2751.040215,7315.79,7315.79,4788.184555,11710.03,11710.03,7664.214635,5654.3,5654.3,3700.73935,8813.49,8813.49,5768.429205,2632511.84,2632511.84,1722978.99928,11710.03,11710.03,7664.214635,0,0,0,384.87,384.87,251.897415,6834.83,6834.83,4473.396235,3815.28,3815.28,2497.10076,6117.21,6117.21,2301.93,2301.93,1506.613185,4003.713945,3805.44,3805.44,2490.66048,6506.56,6506.56,4258.54352,18544.86,18544.86,12137.61087,Preliminary
United Kingdom,Donor,DAC,EU,2017-05-16,2016,NA,NA,NA,4128.98694675075,3701.19,2742.58179,7477.67421642256,6702.92577574277,4966.86799982539,12841.059154,11510.62,8529.36942,NA,NA,NA,NA,NA,NA,2885323.804673,2586380.57,1916508.00237,12844.439372,11513.65,8531.61465,3.380218,3.03,2.24523,612.700837,549.22,406.97202,7250.691129,6499.46,4816.09986,3497.03113643154,3134.71,2322.82011,6262.23694825067,5613.41778731833,2765.20581181913,2478.70778731833,1836.72247040289,4159.54258040289,3812.71898984937,3417.69,2532.50829,6893.26250107743,6179.06391213954,4578.6863588954,20091.750283,18010.08,13345.46928,Preliminary
United States,Donor,DAC,Non-EU,2017-05-16,2007,5807.09,5138.64,5138.64,5649.75,4999.43,4999.43,7235.84,6402.95,6402.95,21242.799128,18797.6,18797.6,11801.58,10443.1,10443.1,13607.41,12041.07,12041.07,15736934.46257,13925500,13925500,21359.818952,18901.15,18901.15,117.019824,103.55,103.55,509.711459,451.04,451.04,3261.129484,2885.75,2885.75,5388.79,4768.49,4768.49,6898.7,6104.62,1509.91,1336.13,1336.13,6104.62,5126.56,4536.46,4536.46,6656.07,5889.91,5889.91,24503.928612,21683.35,21683.35,Preliminary
United States,Donor,DAC,Non-EU,2017-05-16,2008,7395.66,6672.78,6672.78,7761.87,7003.19,7003.19,9288.84,8380.89,8380.89,25753.871017,23236.46,23236.46,13524.12,12202.19,12202.19,15143.28,13663.06,13663.06,15971495.121159,14410300,14410300,25995.333716,23454.32,23454.32,241.462699,217.86,217.86,614.873136,554.77,554.77,3305.587327,2982.47,2982.47,7560.3,6821.31,6821.31,8939.4,8065.59,1379.1,1244.28,1244.28,8065.59,7204.92,6500.68,6500.68,8630.95,7787.31,7787.31,29059.458344,26218.93,26218.93,Preliminary
United States,Donor,DAC,Non-EU,2017-05-16,2009,7837.31,7124.97,7124.97,8256.52,7506.05,7506.05,10053.49,9139.7,9139.7,27496.083117,24996.77,24996.77,14742.55,13402.52,13402.52,16742.47,15220.69,15220.69,15411896.038968,14011e3,14011e3,27690.626542,25173.63,25173.63,194.543425,176.86,176.86,814.407222,740.38,740.38,4023.427754,3657.71,3657.71,8828.76,8026.27,8026.27,10350.45,9409.67,1521.69,1383.4,1383.4,9409.67,8004.05,7276.52,7276.52,9727.27,8843.12,8843.12,31519.510871,28654.48,28654.48,Preliminary
United States,Donor,DAC,Non-EU,2017-05-16,2010,7810.42,7187.23,7187.23,8162.75,7511.46,7511.46,10118.56,9311.19,9311.19,28139.657351,25894.4,25894.4,14970.6,13776.12,13776.12,17173.78,15803.48,15803.48,15904626.83521,14635600,14635600,28162.163078,25915.11,25915.11,22.505727,20.71,20.71,823.496623,757.79,757.79,4065.647131,3741.25,3741.25,9701.9,8927.8,8927.8,11496.8,10579.47,1794.9,1651.67,1651.67,10579.47,8046.96,7404.91,7404.91,9919.46,9127.97,9127.97,32205.304482,29635.65,29635.65,Preliminary
United States,Donor,DAC,Non-EU,2017-05-16,2011,8094.48,7602.39,7602.39,8760.82,8228.23,8228.23,10480.34,9843.21,9843.21,27958.080766,26258.4,26258.4,14521.18,13638.38,13638.38,16415.98,15418,15418,16195912.696904,15211300,15211300,29059.947545,27293.28,27293.28,1101.866779,1034.88,1034.88,779.104821,731.74,731.74,3910.675197,3672.93,3672.93,9622.25,9037.28,9037.28,11191.84,10511.44,1569.59,1474.16,1474.16,10511.44,8402.37,7891.57,7891.57,10065.81,9453.88,9453.88,31868.755963,29931.33,29931.33,Preliminary
United States,Donor,DAC,Non-EU,2017-05-16,2012,9403.2,8994.21,8994.21,9271.68,8868.42,8868.42,11856.95,11341.23,11341.23,26536.013123,25381.89,25381.89,12891.33,12330.66,12330.66,15796.38,15109.3,15109.3,17265419.900773,16514500,16514500,26578.783315,25422.8,25422.8,42.770192,40.91,40.91,869.33995,831.53,831.53,5467.370771,5229.58,5229.58,9540.04,9125.13,9125.13,11662.94,11155.68,2122.9,2030.55,2030.55,11155.68,8963.97,8574.09,8574.09,11474.18,10975.11,10975.11,32003.383894,30611.47,30611.47,Preliminary
United States,Donor,DAC,Non-EU,2017-05-16,2013,9856.3,9579.84,9579.84,9769.67,9495.62,9495.62,11996.94,11660.44,11660.44,26937.13512,26181.66,26181.66,13826.14,13438.35,13438.35,16436.44,15975.45,15975.45,17700732.258829,17204300,17204300,27120.909223,26360.28,26360.28,183.774103,178.62,178.62,1004.677031,976.5,976.5,5047.954217,4906.38,4906.38,9088.26,8833.34,8833.34,11135.01,10822.7,2046.75,1989.36,1989.36,10822.7,9398.57,9134.94,9134.94,11578.01,11253.27,11253.27,31985.089337,31088.04,31088.04,Preliminary
United States,Donor,DAC,Non-EU,2017-05-16,2014,9211.08,9113.04,9113.04,9416.73,9316.51,9316.51,12202.47,12072.6,12072.6,27757.532299,27462.1,27462.1,12365,12233.38,12233.38,15454.22,15289.69,15289.69,18014938.757982,17823200,17823200,27805.240068,27509.3,27509.3,47.707769,47.2,47.2,1259.04037,1245.64,1245.64,5646.305436,5586.21,5586.21,8708.96,8616.28,8616.28,10942.65,10826.19,2233.69,2209.91,2209.91,10826.19,9542.58,9441.02,9441.02,12100.68,11971.89,11971.89,33403.837735,33048.31,33048.31,Preliminary
United States,Donor,DAC,Non-EU,2017-05-16,2015,8944.3,8944.3,8944.3,9319.81,9319.81,9319.81,11416.76,11416.76,11416.76,26642.94,26642.94,26642.94,12392.41,12392.41,12392.41,14603.77,14603.77,14603.77,18496e3,18496e3,18496e3,26654.11,26654.11,26654.11,11.17,11.17,11.17,1202.12,1202.12,1202.12,4331.43,4331.43,4331.43,9121.7,9121.7,9121.7,10737.22,10737.22,1615.52,1615.52,1615.52,10737.22,9412.83,9412.83,9412.83,11304.37,11304.37,11304.37,30974.37,30974.37,30974.37,Preliminary
United States,Donor,DAC,Non-EU,2017-05-16,2016,NA,NA,NA,9319.77220572752,9440.19,9440.19,12337.9546419523,12497.369405642,12497.369405642,27571.852912,27928.1,27928.1,NA,NA,NA,NA,NA,NA,18328779.702671,18565600,18565600,27581.073772,27937.44,27937.44,9.22086,9.34,9.34,1664.770039,1686.28,1686.28,5579.015328,5651.1,5651.1,9008.8791553434,9125.28,9125.28,11624.7509480158,11774.9506350067,2615.87179267238,2649.67063500671,2649.67063500671,11774.9506350067,9367.23890371256,9488.27,9488.27,12346.8234903915,12506.3528456338,12506.3528456338,33150.86824,33579.2,33579.2,Preliminary
NA,NA,NA,NA,2017-05-16,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.108013,10.11,7.929753,NA,NA,NA,NA,NA,NA,68160.639042,75659.1,59343.025937,9.108013,10.11,7.929753,0,0,0,0,0,0,5.198144,5.77,4.525685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.306157,15.88,12.455438,Preliminary
NA,NA,NA,NA,2017-05-16,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16,7.16,7.335877,NA,NA,NA,NA,NA,NA,69682.1,69682.1,71393.757168,7.16,7.16,7.335877,0,0,0,0,0,0,5.81,5.81,5.952716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.97,12.97,13.288593,Preliminary
"All Donors, Total",Group,Group,Group,2018-01-02,2007,34907.93,37021.09,NA,33560.2,35499.12,NA,47020.49,50094.95,NA,78279.267,81340.58,NA,43289.86,44524.77,NA,58242.23,60692.99,NA,0,0,NA,86555.939,90374.58,NA,8276.672,9034,NA,1921.308,1956.33,NA,29339.26,31793.44,NA,30829.44,32297.79,NA,42728.49,45143.86,11899.05,12846.07,NA,NA,29408.92,31022.56,NA,41553.11,44157.52,NA,107618.527,113134.02,NA,Final
"All Donors, Total",Group,Group,Group,2018-01-02,2008,39216.01,43357.34,NA,38992.74,42940.09,NA,53728.12,59797.29,NA,91071.262,99037.44,NA,46901.98,50246.24,NA,62654.58,68249.68,NA,0,0,NA,98799.548,108017.33,NA,7728.286,8979.89,NA,2425.66,2626.68,NA,31859.218,36404.4,NA,34869.15,37958.95,NA,47795.26,52715.8,12926.11,14756.85,NA,NA,34347.99,37665.1,NA,47825.56,53069.86,NA,122930.48,135441.84,NA,Final
"All Donors, Total",Group,Group,Group,2018-01-02,2009,41392.43,43975.66,NA,42541.7,45159.39,NA,57583.7,61708.1,NA,95467.476,100779.58,NA,51391.52,53209.77,NA,67154.81,70534.25,NA,0,0,NA,97124.138,102527.38,NA,1656.662,1747.8,NA,3113.158,3226.07,NA,34207.119,37624.83,NA,37729.25,39521.34,NA,49951.71,52952.97,12222.46,13431.63,NA,NA,37757.57,39840.07,NA,51405.22,54844.01,NA,129674.595,138404.41,NA,Final
"All Donors, Total",Group,Group,Group,2018-01-02,2010,42399.01,45138.4,NA,40987.26,43515.3,NA,57271.11,61247.71,NA,98307.939,104454.37,NA,51919.27,54447.49,NA,69896.85,74095.3,NA,0,0,NA,101767.497,108386.73,NA,3459.558,3932.36,NA,3305.861,3513.46,NA,35956.297,39256.88,NA,39206.67,41448.62,NA,53523.35,57087.61,14316.68,15638.99,NA,NA,37295.68,39400.21,NA,52381.43,55825.23,NA,134264.236,143711.25,NA,Final
"All Donors, Total",Group,Group,Group,2018-01-02,2011,40875.3,46003.93,NA,42408.66,47610.8,NA,57351.24,64965.95,NA,102326.013,115437.616,NA,50921.47,56548.51,NA,65934.28,74015.05,NA,0,0,NA,106020.932,119577.356,NA,3694.919,4139.74,NA,4032.235,4654.637,NA,35741.899,41670.688,NA,37205.44,41495.18,NA,49230.33,55494.24,12024.89,13999.06,NA,NA,37312.33,41628.61,NA,50673.14,57130.77,NA,138067.912,157108.304,NA,Final
"All Donors, Total",Group,Group,Group,2018-01-02,2012,44056.61,48319.46,NA,44231.63,48293.48,NA,59914.71,65848.91,NA,97791.337,107605.29,NA,51687.65,56748.58,NA,68024.26,75125.19,NA,0,0,NA,100455.051,110605.092,NA,2663.714,2999.802,NA,4012.968,4451.367,NA,35618.872,40009.099,NA,38285.65,41979.27,NA,49870.99,55035.56,11585.34,13056.29,NA,NA,38294.23,41629.51,NA,52117.81,57120.49,NA,133410.209,147614.389,NA,Final
"All Donors, Total",Group,Group,Group,2018-01-02,2013,51385.8,56700.92,NA,50493.94,55723.17,NA,66532.35,73752.82,NA,108445.508,120576.484,NA,61615.11,67836.24,NA,79372.06,87798.57,NA,0,0,NA,111545.25,124219.063,NA,3099.742,3642.579,NA,4332.895,4960.253,NA,38079.157,42843.253,NA,40692.43,44797.56,NA,54435.78,60244.41,13743.35,15446.85,NA,NA,41074.62,45085.79,NA,55577.63,61356.92,NA,146524.665,163419.737,NA,Final
"All Donors, Total",Group,Group,Group,2018-01-02,2014,48528.4,53842.65,NA,48519.19,53834.32,NA,65552,72990.24,NA,119770.609,133492.92,NA,58856.11,65044.34,NA,77125.46,85553.36,NA,0,0,NA,120569.041,134473.21,NA,798.432,980.29,NA,5965.763,6787.21,NA,39085.462,44121.5,NA,39136.49,43221.88,NA,52374.64,58090.77,13238.15,14868.89,NA,NA,39980.8,44073.88,NA,54776.53,60687.56,NA,158856.071,177614.42,NA,Final
