Donor,Donor_Group_Type,Donor_DAC_Country,Donor_EU_Country,as_of_date,Time_Period,Africa_Fragile_ODA_Constant Prices,Africa_Fragile_ODA_Current Prices,Africa_Fragile_ODA_National currency,Africa_ODA_Bilateral_Constant Prices,Africa_ODA_Bilateral_Current Prices,Africa_ODA_Bilateral_National currency,Africa_ODA_Constant Prices,Africa_ODA_Current Prices,Africa_ODA_National currency,Bilat_ODA_Ex_Debt_Relief_Constant Prices,Bilat_ODA_Ex_Debt_Relief_Current Prices,Bilat_ODA_Ex_Debt_Relief_National currency,Fragile_State_ODA_Bilateral_Constant Prices,Fragile_State_ODA_Bilateral_Current Prices,Fragile_State_ODA_Bilateral_National currency,Fragile_State_ODA_Constant Prices,Fragile_State_ODA_Current Prices,Fragile_State_ODA_National currency,GNI_Constant Prices,GNI_Current Prices,GNI_National currency,IA_Bilateral_ODA_Constant Prices,IA_Bilateral_ODA_Current Prices,IA_Bilateral_ODA_National currency,IA6_Debt_Relief_Constant Prices,IA6_Debt_Relief_Current Prices,IA6_Debt_Relief_National currency,IA82_In_Donor_Refugee_Cost_Constant Prices,IA82_In_Donor_Refugee_Cost_Current Prices,IA82_In_Donor_Refugee_Cost_National currency,IB_Multilateral_ODA_Constant Prices,IB_Multilateral_ODA_Current Prices,IB_Multilateral_ODA_National currency,LDC_ODA_Bilateral_Constant Prices,LDC_ODA_Bilateral_Current Prices,LDC_ODA_Bilateral_National currency,LDC_ODA_Constant Prices,LDC_ODA_Current Prices,LDC_ODA_Imputed_Multilateral_Constant Prices,LDC_ODA_Imputed_Multilateral_Current Prices,LDC_ODA_Imputed_Multilateral_National currency,LDC_ODA_National currency,SSA_ODA_Bilateral_Constant Prices,SSA_ODA_Bilateral_Current Prices,SSA_ODA_Bilateral_National currency,SSA_ODA_Constant Prices,SSA_ODA_Current Prices,SSA_ODA_National currency,Total_ODA_ONE_Constant Prices,Total_ODA_ONE_Current Prices,Total_ODA_ONE_National currency,Release
Austria,Donor,DAC,EU,2017-05-16,2007,210.31,226.16,165.20988,57.43,61.75,45.108375,279.76,300.86,219.77823,371.745954,399.78,292.03929,54.73,58.85,42.989925,292.32,314.38,229.65459,337639.847819,363101.89,265245.930645,1231.416608,1324.28,967.38654,859.670654,924.5,675.34725,46.633297,50.15,36.634575,450.218216,484.17,353.686185,40.02,43.03,31.433415,230.01,247.38,189.99,204.35,149.277675,180.71109,53.47,57.49,41.996445,249.43,268.25,195.956625,821.96417,883.95,645.725475,Preliminary
Austria,Donor,DAC,EU,2017-05-16,2008,210.54,242.84,168.360972,97.08,111.96,77.621868,282.04,325.29,225.523557,433.702738,500.29,346.851057,93.91,108.34,75.112122,292.93,337.9,234.26607,346843.73697,400095.36,277386.113088,1069.437144,1233.63,855.275679,635.734406,733.34,508.424622,39.079972,45.08,31.253964,416.009255,479.88,332.700804,78.5,90.56,62.785248,238.53,275.13,160.03,184.57,127.962381,190.747629,91.78,105.86,73.392738,256.28,295.59,204.932547,849.711993,980.17,679.551861,Preliminary
Austria,Donor,DAC,EU,2017-05-16,2009,253.69,287.89,206.733809,75.42,85.56,61.440636,360.25,408.83,293.580823,395.04982,448.36,321.967316,77.5,87.92,63.135352,348.34,395.3,283.86493,333077.221173,378024.48,271459.379088,446.832044,507.13,364.170053,51.782224,58.77,42.202737,35.781455,40.61,29.162041,559.189866,634.65,455.742165,61.27,69.52,49.922312,281.46,319.41,220.19,249.89,179.446009,229.368321,70.59,80.08,57.505448,313.94,356.27,255.837487,954.239686,1083.01,777.709481,Preliminary
Austria,Donor,DAC,EU,2017-05-16,2010,257.34,280.71,211.93605,76.08,82.97,62.64235,352.63,384.65,290.41075,419.233668,457.31,345.26905,74.99,81.76,61.7288,364.66,397.72,300.2786,343588.718488,374794.7,282969.9985,561.438139,612.43,462.38465,142.204471,155.12,117.1156,33.085091,36.09,27.24795,546.357791,595.98,449.9649,54.57,59.51,44.93005,288.86,315.07,234.29,255.56,192.9478,237.87785,64.71,70.57,53.28035,317.88,346.75,261.79625,965.591459,1053.29,795.23395,Preliminary
Austria,Donor,DAC,EU,2017-05-16,2011,206.31,240.68,173.097056,72.23,84.25,60.5926,306.32,357.37,257.020504,383.01823,446.82,321.352944,68.68,80.1,57.60792,281.74,328.69,236.393848,356638.137858,416045.61,299220.002712,420.109673,490.09,352.472728,37.091443,43.27,31.119784,36.002788,42,30.2064,532.566952,621.28,446.824576,53.3,62.17,44.712664,225.56,263.16,172.26,200.99,144.552008,189.264672,64.34,75.05,53.97596,265.49,309.74,222.765008,915.585182,1068.1,768.17752,Preliminary
Austria,Donor,DAC,EU,2017-05-16,2012,243.5,267.78,208.33284,65.89,72.48,56.38944,324.41,356.82,277.60596,390.771227,429.83,334.40774,68.3,75.08,58.41224,317.94,349.65,272.0277,358748.406205,394606.4,307003.7792,486.929878,535.6,416.6968,96.158651,105.77,82.28906,52.347689,57.58,44.79724,518.34031,570.15,443.5767,46.5,51.14,39.78692,219.21,241.08,172.71,189.94,147.77332,187.56024,56.9,62.59,48.69502,276.94,304.6,236.9788,909.111537,999.98,777.98444,Preliminary
Austria,Donor,DAC,EU,2017-05-16,2013,237.62,274.25,206.5651,74.26,85.7,64.54924,326.21,376.51,283.587332,431.837412,498.39,375.387348,68.86,79.49,59.871868,327.64,378.15,284.82258,371106.249974,428299.26,322595.002632,470.733019,543.28,409.198496,38.895607,44.89,33.811148,54.812566,63.26,47.647432,544.321877,628.21,473.167772,55.7,64.28,48.415696,259.42,299.38,203.72,235.1,177.07732,225.493016,65.19,75.23,56.663236,285.48,329.49,248.171868,976.159289,1126.6,848.55512,Preliminary
Austria,Donor,DAC,EU,2017-05-16,2014,214.18,251.34,189.434958,59.81,70.2,52.90974,294.18,345.27,260.229999,449.616149,527.72,397.742564,69.83,81.93,61.750641,314.48,369.04,278.145448,369874.58826,434126.35,327201.029995,542.390163,636.61,479.812957,92.774014,108.89,82.070393,93.259652,109.46,82.500002,509.417857,597.91,450.644767,42.71,50.14,37.790518,217.3,255,174.59,204.86,154.402982,192.1935,53.21,62.46,47.076102,252.74,296.62,223.562494,959.034006,1125.63,848.387331,Preliminary
Austria,Donor,DAC,EU,2017-05-16,2015,215.35,215.35,194.138025,55.52,55.52,50.05128,294.56,294.56,265.54584,781.88,781.88,704.86482,61.12,61.12,55.09968,310.09,310.09,279.546135,374138.66,374138.66,337286.00199,782.5,782.5,705.42375,0.62,0.62,0.55893,438.99,438.99,395.749485,541.01,541.01,487.720515,41.12,41.12,37.06968,222.28,222.28,181.16,181.16,163.31574,200.38542,46.73,46.73,42.127095,255.41,255.41,230.252115,1322.89,1322.89,1192.585335,Preliminary
Austria,Donor,DAC,EU,2017-05-16,2016,NA,NA,NA,50.4878127599469,51.04,46.155472,301.601290802393,304.899916257935,275.720994272051,951.364884,961.77,869.728611,NA,NA,NA,NA,NA,NA,384701.059128,388908.55,351690.001765,959.367361,969.86,877.044398,8.002477,8.09,7.315787,589.700423,596.15,539.098445,606.704449,613.34,554.643362,33.1573566558272,33.52,30.312136,230.896302729268,233.421624884711,197.738946073441,199.901624884711,180.771039383244,211.083175383244,42.4358771042657,42.9,38.79447,258.645365250874,261.474180019885,236.451100991982,1558.069333,1575.11,1424.371973,Preliminary
