"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Constant_price_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","Population_Constant Prices","Population_Current Prices","Population_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices","Total_ODA_ONE_National currency"
"Italy","Donor","DAC","EU","2017-05-16",NA,2007,NA,1109.49,NA,NA,299.28,NA,NA,1555.64,NA,NA,700.57,511.766385,NA,292.27,NA,NA,1566.34,NA,NA,2090866.53,1527378.000165,NA,1270.31,927.961455,NA,569.74,416.19507,NA,34.13,24.931965,NA,2700.31,1972.576455,NA,260.57,NA,NA,1250.09,NA,989.52,NA,NA,NA,58.88,0,NA,215.6,NA,NA,1312.56,NA,NA,3400.88,2484.34284
"Italy","Donor","DAC","EU","2017-05-16",NA,2008,NA,1269.63,NA,NA,296.85,NA,NA,1692.44,NA,NA,948.4,657.52572,NA,564.52,NA,NA,2030.14,NA,NA,2232998.7,1548137.99871,NA,1838.26,1274.465658,NA,889.86,616.939938,NA,3.04,2.107632,NA,3022.38,2095.416054,NA,405.97,NA,NA,1600.39,NA,1194.42,NA,NA,NA,59.34,0,NA,283,NA,NA,1544.81,NA,NA,3970.78,2752.941774
"Italy","Donor","DAC","EU","2017-05-16",NA,2009,NA,858.94,NA,NA,262.18,NA,NA,1279.79,NA,NA,700.48,503.014688,NA,372.46,NA,NA,1352.46,NA,NA,2081292.3,1494576.00063,NA,874.7,628.12207,NA,174.22,125.107382,NA,0,0,NA,2422.79,1739.805499,NA,295.14,NA,NA,1058.3,NA,763.16,NA,NA,NA,60.26,0,NA,242.8,NA,NA,1137.79,NA,NA,3123.27,2242.820187
"Italy","Donor","DAC","EU","2017-05-16",NA,2010,NA,911.96,NA,NA,195.26,NA,NA,1204.09,NA,NA,529.92,400.0896,NA,286.31,NA,NA,1357.12,NA,NA,2023915.23,1528055.99865,NA,759.14,573.1507,NA,229.22,173.0611,NA,3.46,2.6123,NA,2237.25,1689.12375,NA,217.4,NA,NA,1054.17,NA,836.77,NA,NA,NA,60.62,0,NA,171.49,NA,NA,1079.52,NA,NA,2767.17,2089.21335
"Italy","Donor","DAC","EU","2017-05-16",NA,2011,NA,848.51,NA,NA,260.11,NA,NA,1302.65,NA,NA,1054.64,758.497088,NA,310.36,NA,NA,1236.61,NA,NA,2182612.63,1569735.003496,NA,1702.71,1224.589032,NA,648.07,466.091944,NA,524.52,377.234784,NA,2623.25,1886.6414,NA,211.26,NA,NA,947.64,NA,736.38,NA,NA,NA,60.85,0,NA,207.34,NA,NA,1050.24,NA,NA,3677.89,2645.138488
"Italy","Donor","DAC","EU","2017-05-16",NA,2012,NA,698.24,NA,NA,110.17,NA,NA,999.99,NA,NA,621.86,483.80708,NA,219.35,NA,NA,1023.94,NA,NA,1998100.26,1554522.00228,NA,624,485.472,NA,2.14,1.66492,NA,246.69,191.92482,NA,2113.13,1644.01514,NA,148.93,NA,NA,699.73,NA,550.8,NA,NA,NA,59.69,0,NA,100,NA,NA,775.79,NA,NA,2734.99,2127.82222
"Italy","Donor","DAC","EU","2017-05-16",NA,2013,NA,821.11,NA,NA,137.85,NA,NA,1188.35,NA,NA,864,650.7648,NA,204.64,NA,NA,1245.98,NA,NA,2058746.68,1550647.999376,NA,867.41,653.333212,NA,3.41,2.568412,NA,403.6,303.99152,NA,2562.66,1930.195512,NA,154.14,NA,NA,952.42,NA,798.28,NA,NA,NA,59.68,0,NA,114.22,NA,NA,983.71,NA,NA,3426.66,2580.960312
"Italy","Donor","DAC","EU","2017-05-16",NA,2014,NA,911.16,NA,NA,194.71,NA,NA,1284.52,NA,NA,1371.06,1033.367922,NA,246.19,NA,NA,1344.58,NA,NA,2141436.91,1614000.999067,NA,1372.3,1034.30251,NA,1.24,0.934588,NA,839.94,633.062778,NA,2636.88,1987.416456,NA,172.28,NA,NA,961.09,NA,788.81,NA,NA,NA,60.78,0,NA,162.61,NA,NA,1050.63,NA,NA,4007.94,3020.784378
"Italy","Donor","DAC","EU","2017-05-16",NA,2015,NA,731.2,NA,NA,252.12,NA,NA,1071.1,NA,NA,1748.53,1576.299795,NA,382.22,NA,NA,1206.18,NA,NA,1811822.37,1633357.866555,NA,1829.36,1649.16804,NA,80.83,72.868245,NA,983.03,886.201545,NA,2174,1959.861,NA,280.25,NA,NA,870.3,NA,590.05,NA,NA,NA,60.65,0,NA,196.06,NA,NA,862.32,NA,NA,3922.53,3536.160795
"Italy","Donor","DAC","EU","2017-05-16",NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2188.95,1979.467485,NA,NA,NA,NA,NA,NA,NA,1852102.63,1674856.408309,NA,2333.75,2110.410125,NA,144.8,130.94264,NA,1665.24,1505.876532,NA,2522.03,2280.671729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.58,0,NA,NA,NA,NA,NA,NA,NA,4710.98,4260.139214
"Japan","Donor","DAC","Non-EU","2017-05-16",2015,2007,1040,NA,NA,877.27,NA,NA,1455.24,NA,NA,3938.038768,NA,NA,1120.75,NA,NA,1872.32,NA,NA,4242580.391516,NA,NA,5418.827698,NA,NA,1480.78893,NA,NA,1.594283,NA,NA,1799.664313,NA,NA,969.83,NA,NA,1568.85,NA,599.02,NA,NA,NA,0,NA,NA,801.99,NA,NA,1328.39,NA,NA,5737.703081,NA,NA
"Japan","Donor","DAC","Non-EU","2017-05-16",2015,2008,1460.79,NA,NA,1310.95,NA,NA,2290.59,NA,NA,4269.925179,NA,NA,1146.05,NA,NA,2339.39,NA,NA,4207813.701787,NA,NA,5694.198844,NA,NA,1424.273665,NA,NA,0.275395,NA,NA,2317.870446,NA,NA,1166.85,NA,NA,2158.03,NA,991.18,NA,NA,NA,0,NA,NA,1067.73,NA,NA,1976.95,NA,NA,6587.795625,NA,NA
"Japan","Donor","DAC","Non-EU","2017-05-16",2015,2009,1500.32,NA,NA,1120.01,NA,NA,2021.42,NA,NA,5325.05593,NA,NA,1494.31,NA,NA,2701.32,NA,NA,3920985.125394,NA,NA,4674.640033,NA,NA,-650.415897,NA,NA,0.136238,NA,NA,2490.410029,NA,NA,1394.88,NA,NA,2332.99,NA,938.11,NA,NA,NA,0,NA,NA,969.14,NA,NA,1816.7,NA,NA,7815.465959,NA,NA
"Japan","Donor","DAC","Non-EU","2017-05-16",2015,2010,1918.62,NA,NA,1238.92,NA,NA,2476.92,NA,NA,5203.003157,NA,NA,2097.5,NA,NA,3716.97,NA,NA,4091841.70361,NA,NA,5333.449673,NA,NA,130.446516,NA,NA,0.319829,NA,NA,2704.246564,NA,NA,1830.71,NA,NA,3106.23,NA,1275.52,NA,NA,NA,0,NA,NA,1076.08,NA,NA,2273.74,NA,NA,7907.249721,NA,NA
"Japan","Donor","DAC","Non-EU","2017-05-16",2015,2011,1546.64,NA,NA,1092.45,NA,NA,2109.46,NA,NA,4775.379305,NA,NA,2240.59,NA,NA,3455.77,NA,NA,4095505.494181,NA,NA,4841.533895,NA,NA,66.15459,NA,NA,0.477578,NA,NA,2615.524445,NA,NA,1658.76,NA,NA,2707.08,NA,1048.32,NA,NA,NA,0,NA,NA,1010.02,NA,NA,1974.8,NA,NA,7390.90375,NA,NA
"Japan","Donor","DAC","Non-EU","2017-05-16",2015,2012,1877.72,NA,NA,1172.35,NA,NA,2283.8,NA,NA,4352.586919,NA,NA,2546.72,NA,NA,3986.45,NA,NA,4163891.766079,NA,NA,4352.668503,NA,NA,0.081584,NA,NA,0.509902,NA,NA,2857.016382,NA,NA,2044.33,NA,NA,3136.01,NA,1091.68,NA,NA,NA,0,NA,NA,1137.62,NA,NA,2213.63,NA,NA,7209.603301,NA,NA
"Japan","Donor","DAC","Non-EU","2017-05-16",2015,2013,2063.1,NA,NA,1548.62,NA,NA,2542.72,NA,NA,5281.143324,NA,NA,3632.67,NA,NA,5055.51,NA,NA,4264020.082071,NA,NA,7104.944744,NA,NA,1823.80142,NA,NA,0.526668,NA,NA,2482.997587,NA,NA,2742.22,NA,NA,3925.63,NA,1183.41,NA,NA,NA,0,NA,NA,1463.5,NA,NA,2420.62,NA,NA,7764.140911,NA,NA
"Japan","Donor","DAC","Non-EU","2017-05-16",2015,2014,1919.82,NA,NA,1389.39,NA,NA,2611.1,NA,NA,5471.948293,NA,NA,2617.12,NA,NA,4268.7,NA,NA,4269282.776727,NA,NA,5466.498412,NA,NA,-5.449881,NA,NA,0.508418,NA,NA,2992.225597,NA,NA,2054.56,NA,NA,3255.1,NA,1200.54,NA,NA,NA,0,NA,NA,1069.52,NA,NA,2232.01,NA,NA,8464.17389,NA,NA
"Japan","Donor","DAC","Non-EU","2017-05-16",2015,2015,2305.59,NA,NA,1765.14,NA,NA,3015.69,NA,NA,6121.78,NA,NA,3130.01,NA,NA,4752.45,NA,NA,4553329.15,NA,NA,6147.44,NA,NA,25.66,NA,NA,0.22,NA,NA,3055.38,NA,NA,2479.59,NA,NA,3659.38,NA,1179.79,NA,NA,NA,0,NA,NA,1417.8,NA,NA,2638.2,NA,NA,9177.16,NA,NA
"Japan","Donor","DAC","Non-EU","2017-05-16",2015,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,6303.403799,NA,NA,NA,NA,NA,NA,NA,NA,4567923.259069,NA,NA,6317.126206,NA,NA,13.722407,NA,NA,0.214972,NA,NA,2969.602334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9273.006133,NA,NA
"Japan","Donor","DAC","Non-EU","2017-05-16",NA,2007,NA,1108.99,NA,NA,935.46,NA,NA,1551.76,NA,NA,4199.17,494662.226,NA,1195.09,NA,NA,1996.52,NA,NA,4523905.77,532916099.706,NA,5778.15,680666.07,NA,1578.98,186003.844,NA,1.7,200.26,NA,1919,226058.2,NA,1034.13,NA,NA,1672.87,NA,638.74,NA,NA,NA,127.75,0,NA,855.18,NA,NA,1416.48,NA,NA,6118.17,720720.426
"Japan","Donor","DAC","Non-EU","2017-05-16",NA,2008,NA,1750.42,NA,NA,1570.87,NA,NA,2744.72,NA,NA,5116.57,529564.995,NA,1373.3,NA,NA,2803.25,NA,NA,5042143,521861800.5,NA,6823.25,706206.375,NA,1706.68,176641.38,NA,0.33,34.155,NA,2777.46,287467.11,NA,1398.19,NA,NA,2585.89,NA,1187.7,NA,NA,NA,127.66,0,NA,1279.43,NA,NA,2368.9,NA,NA,7894.03,817032.105
"Japan","Donor","DAC","Non-EU","2017-05-16",NA,2009,NA,1982.24,NA,NA,1479.74,NA,NA,2670.72,NA,NA,7035.55,657120.37,NA,1974.28,NA,NA,3569.03,NA,NA,5180468.95,483855799.93,NA,6176.21,576858.014,NA,-859.34,-80262.356,NA,0.18,16.812,NA,3290.37,307320.558,NA,1842.94,NA,NA,3082.4,NA,1239.46,NA,NA,NA,127.49,0,NA,1280.41,NA,NA,2400.24,NA,NA,10325.92,964440.928
"Japan","Donor","DAC","Non-EU","2017-05-16",NA,2010,NA,2639.52,NA,NA,1704.41,NA,NA,3407.62,NA,NA,7157.96,628186.864376,NA,2885.58,NA,NA,5113.61,NA,NA,5629294.92,494030299.756152,NA,7337.42,643936.381652,NA,179.46,15749.517276,NA,0.44,38.614664,NA,3720.33,326498.392998,NA,2518.56,NA,NA,4273.37,NA,1754.81,NA,NA,NA,127.39,0,NA,1480.38,NA,NA,3128.09,NA,NA,10878.29,954685.257374
"Japan","Donor","DAC","Non-EU","2017-05-16",NA,2011,NA,2299.34,NA,NA,1624.11,NA,NA,3136.07,NA,NA,7099.41,565871.252988,NA,3330.99,NA,NA,5137.57,NA,NA,6088662.45,485307800.16966,NA,7197.76,573710.416768,NA,98.35,7839.16378,NA,0.71,56.591828,NA,3888.42,309933.515256,NA,2466,NA,NA,4024.49,NA,1558.49,NA,NA,NA,127.77,0,NA,1501.56,NA,NA,2935.88,NA,NA,10987.83,875804.768244
"Japan","Donor","DAC","Non-EU","2017-05-16",NA,2012,NA,2761.87,NA,NA,1724.33,NA,NA,3359.13,NA,NA,6402.09,510973.850424,NA,3745.88,NA,NA,5863.55,NA,NA,6124543.94,488821900.209584,NA,6402.21,510983.428056,NA,0.12,9.577632,NA,0.75,59.8602,NA,4202.3,335400.69128,NA,3006.9,NA,NA,4612.66,NA,1605.76,NA,NA,NA,127.49,0,NA,1673.26,NA,NA,3255.94,NA,NA,10604.39,846374.541704
"Japan","Donor","DAC","Non-EU","2017-05-16",NA,2013,NA,2467.89,NA,NA,1852.47,NA,NA,3041.61,NA,NA,6317.3,616511.6243,NA,4345.41,NA,NA,6047.41,NA,NA,5100617.88,497774399.52708,NA,8498.93,829419.07763,NA,2181.63,212907.45333,NA,0.63,61.48233,NA,2970.16,289860.88456,NA,3280.27,NA,NA,4695.88,NA,1415.61,NA,NA,NA,127.26,0,NA,1750.67,NA,NA,2895.58,NA,NA,9287.46,906372.50886
"Japan","Donor","DAC","Non-EU","2017-05-16",NA,2014,NA,2152.34,NA,NA,1557.67,NA,NA,2927.37,NA,NA,6134.74,649346.89215,NA,2934.08,NA,NA,4785.71,NA,NA,4786401.19,506628599.958525,NA,6128.63,648700.163925,NA,-6.11,-646.728225,NA,0.57,60.333075,NA,3354.66,355082.37435,NA,2303.37,NA,NA,3649.32,NA,1345.95,NA,NA,NA,127.05,0,NA,1199.05,NA,NA,2502.35,NA,NA,9489.4,1004429.2665
"Japan","Donor","DAC","Non-EU","2017-05-16",NA,2015,NA,2305.59,NA,NA,1765.14,NA,NA,3015.69,NA,NA,6121.78,740749.460094,NA,3130.01,NA,NA,4752.45,NA,NA,4553329.15,550963299.807045,NA,6147.44,743854.379112,NA,25.66,3104.919018,NA,0.22,26.620506,NA,3055.38,369708.007374,NA,2479.59,NA,NA,3659.38,NA,1179.79,NA,NA,NA,126.94,0,NA,1417.8,NA,NA,2638.2,NA,NA,9177.16,1110457.467468
"Japan","Donor","DAC","Non-EU","2017-05-16",NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7037.26,765672.888602,NA,NA,NA,NA,NA,NA,NA,5099730.98,554864499.897646,NA,7052.58,767339.745966,NA,15.32,1666.857364,NA,0.24,26.112648,NA,3315.33,360716.855391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.9,0,NA,NA,NA,NA,NA,NA,NA,10352.59,1126389.743993
"Kazakhstan","Donor","Non-DAC","Non-EU","2017-05-16",2015,2013,0,NA,NA,0,NA,NA,0,NA,NA,4.83389,NA,NA,0.53,NA,NA,0.53,NA,NA,186662.210573,NA,NA,4.83389,NA,NA,0,NA,NA,0,NA,NA,2.837087,NA,NA,0.48,NA,NA,0.48,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,7.670977,NA,NA
"Kazakhstan","Donor","Non-DAC","Non-EU","2017-05-16",2015,2014,1.41,NA,NA,0.05,NA,NA,1.79,NA,NA,24.396141,NA,NA,13.03,NA,NA,14.86,NA,NA,170492.04711,NA,NA,24.396141,NA,NA,0,NA,NA,0,NA,NA,5.666607,NA,NA,11.58,NA,NA,13.11,NA,1.53,NA,NA,NA,0,NA,NA,0.05,NA,NA,1.61,NA,NA,30.062748,NA,NA
"Kazakhstan","Donor","Non-DAC","Non-EU","2017-05-16",2015,2015,1.92,NA,NA,0,NA,NA,2.52,NA,NA,34.03,NA,NA,14.99,NA,NA,17.52,NA,NA,173349.9522,NA,NA,34.03,NA,NA,0,NA,NA,0,NA,NA,8.94,NA,NA,8.39,NA,NA,10.51,NA,2.12,NA,NA,NA,0,NA,NA,0,NA,NA,2.22,NA,NA,42.97,NA,NA
"Kazakhstan","Donor","Non-DAC","Non-EU","2017-05-16",NA,2013,NA,0,NA,NA,0,NA,NA,0,NA,NA,5.35,813.89015,NA,0.58,NA,NA,0.58,NA,NA,206591.95,31428626.76155,NA,5.35,813.89015,NA,0,0,NA,0,0,NA,3.14,477.68506,NA,0.53,NA,NA,0.53,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,8.49,1291.57521
"Kazakhstan","Donor","Non-DAC","Non-EU","2017-05-16",NA,2014,NA,1.48,NA,NA,0.05,NA,NA,1.87,NA,NA,27.08,4852.51936,NA,14.46,NA,NA,16.37,NA,NA,189248.15,33911754.4948,NA,27.08,4852.51936,NA,0,0,NA,0,0,NA,6.29,1127.11768,NA,12.85,NA,NA,14.46,NA,1.61,NA,NA,NA,0,0,NA,0.05,NA,NA,1.68,NA,NA,33.37,5979.63704
"Kazakhstan","Donor","Non-DAC","Non-EU","2017-05-16",NA,2015,NA,1.92,NA,NA,0,NA,NA,2.52,NA,NA,34.03,7545.40384,NA,14.99,NA,NA,17.52,NA,NA,173349.9522,38436538.201402,NA,34.03,7545.40384,NA,0,0,NA,0,0,NA,8.94,1982.24832,NA,8.39,NA,NA,10.51,NA,2.12,NA,NA,NA,0,0,NA,0,NA,NA,2.22,NA,NA,42.97,9527.65216
"Korea","Donor","DAC","Non-EU","2017-05-16",2015,2007,113.49,NA,NA,67.49,NA,NA,142.4,NA,NA,471.747924,NA,NA,180.58,NA,NA,290.24,NA,NA,934138.307966,NA,NA,471.747924,NA,NA,0,NA,NA,0,NA,NA,197.722123,NA,NA,116.04,NA,NA,204.14,NA,88.1,NA,NA,NA,0,NA,NA,50.56,NA,NA,122.48,NA,NA,669.470047,NA,NA
"Korea","Donor","DAC","Non-EU","2017-05-16",2015,2008,133.66,NA,NA,104.58,NA,NA,186.36,NA,NA,590.065429,NA,NA,176.39,NA,NA,315.58,NA,NA,1042860.456549,NA,NA,601.590275,NA,NA,11.524846,NA,NA,0,NA,NA,293.554455,NA,NA,148.53,NA,NA,250.64,NA,102.11,NA,NA,NA,0,NA,NA,84.77,NA,NA,159.9,NA,NA,883.619884,NA,NA
"Korea","Donor","DAC","Non-EU","2017-05-16",2015,2009,158.68,NA,NA,117.42,NA,NA,212.86,NA,NA,718.52952,NA,NA,215.77,NA,NA,355,NA,NA,1035247.29187,NA,NA,718.52952,NA,NA,0,NA,NA,0,NA,NA,290.503055,NA,NA,199.06,NA,NA,310.77,NA,111.71,NA,NA,NA,0,NA,NA,92.31,NA,NA,181.83,NA,NA,1009.032575,NA,NA
"Korea","Donor","DAC","Non-EU","2017-05-16",2015,2010,195.81,NA,NA,149.44,NA,NA,268.01,NA,NA,976.536776,NA,NA,398.64,NA,NA,551.63,NA,NA,1102985.759535,NA,NA,979.102404,NA,NA,2.565628,NA,NA,0,NA,NA,296.949715,NA,NA,362.24,NA,NA,484.91,NA,122.67,NA,NA,NA,0,NA,NA,124.8,NA,NA,235.85,NA,NA,1273.486491,NA,NA
"Korea","Donor","DAC","Non-EU","2017-05-16",2015,2011,218.22,NA,NA,182.93,NA,NA,308.25,NA,NA,1014.898206,NA,NA,379.27,NA,NA,529.33,NA,NA,1146188.08841,NA,NA,1014.898206,NA,NA,0,NA,NA,0,NA,NA,343.594892,NA,NA,355.6,NA,NA,485.04,NA,129.44,NA,NA,NA,0,NA,NA,152.77,NA,NA,270.03,NA,NA,1358.493098,NA,NA
"Korea","Donor","DAC","Non-EU","2017-05-16",2015,2012,321.54,NA,NA,269.41,NA,NA,436.4,NA,NA,1221.124289,NA,NA,444.02,NA,NA,662.03,NA,NA,1171901.442657,NA,NA,1221.124289,NA,NA,0,NA,NA,0,NA,NA,427.569471,NA,NA,430.39,NA,NA,596.22,NA,165.83,NA,NA,NA,0,NA,NA,238.23,NA,NA,396.97,NA,NA,1648.69376,NA,NA
"Korea","Donor","DAC","Non-EU","2017-05-16",2015,2013,369.66,NA,NA,270.34,NA,NA,442.42,NA,NA,1302.907524,NA,NA,564.73,NA,NA,798.9,NA,NA,1307997.178689,NA,NA,1302.907524,NA,NA,0,NA,NA,0,NA,NA,443.528593,NA,NA,512.68,NA,NA,707.52,NA,194.84,NA,NA,NA,0,NA,NA,249.7,NA,NA,412.98,NA,NA,1746.436117,NA,NA
"Korea","Donor","DAC","Non-EU","2017-05-16",2015,2014,408.21,NA,NA,316.55,NA,NA,484.13,NA,NA,1327.9441,NA,NA,562.53,NA,NA,789.82,NA,NA,1351918.972319,NA,NA,1327.9441,NA,NA,0,NA,NA,0,NA,NA,438.560158,NA,NA,515.66,NA,NA,679.66,NA,164,NA,NA,NA,0,NA,NA,298.1,NA,NA,455.7,NA,NA,1766.504258,NA,NA
"Korea","Donor","DAC","Non-EU","2017-05-16",2015,2015,418.26,NA,NA,358.76,NA,NA,509.87,NA,NA,1468.79,NA,NA,633,NA,NA,833.15,NA,NA,1386121.93,NA,NA,1468.79,NA,NA,0,NA,NA,0,NA,NA,446.6,NA,NA,580.13,NA,NA,728.3,NA,148.17,NA,NA,NA,0,NA,NA,341.48,NA,NA,486.89,NA,NA,1915.39,NA,NA
"Korea","Donor","DAC","Non-EU","2017-05-16",2015,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1549.220483,NA,NA,NA,NA,NA,NA,NA,NA,1422924.145148,NA,NA,1549.220483,NA,NA,0,NA,NA,0,NA,NA,430.409546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1979.630029,NA,NA
"Korea","Donor","DAC","Non-EU","2017-05-16",NA,2007,NA,118.02,NA,NA,70.17,NA,NA,148.07,NA,NA,490.52,455913.814,NA,187.8,NA,NA,301.82,NA,NA,971310.1,902784172.445,NA,490.52,455913.814,NA,0,0,NA,0,0,NA,205.59,191085.6255,NA,120.66,NA,NA,212.26,NA,91.6,NA,NA,NA,48.46,0,NA,52.56,NA,NA,127.35,NA,NA,696.11,646999.4395
"Korea","Donor","DAC","Non-EU","2017-05-16",NA,2008,NA,119.8,NA,NA,93.73,NA,NA,167.01,NA,NA,528.89,587120.789,NA,158.1,NA,NA,282.85,NA,NA,934741.2,1037656206.12,NA,539.22,598588.122,NA,10.33,11467.333,NA,0,0,NA,263.12,292089.512,NA,133.14,NA,NA,224.65,NA,91.51,NA,NA,NA,48.61,0,NA,75.97,NA,NA,143.29,NA,NA,792.01,879210.301
"Korea","Donor","DAC","Non-EU","2017-05-16",NA,2009,NA,128.38,NA,NA,95.01,NA,NA,172.22,NA,NA,581.1,740269.101,NA,174.53,NA,NA,287.15,NA,NA,837240.76,1066569376.5716,NA,581.1,740269.101,NA,0,0,NA,0,0,NA,234.94,299292.4154,NA,161.02,NA,NA,251.38,NA,90.36,NA,NA,NA,48.75,0,NA,74.7,NA,NA,147.12,NA,NA,816.04,1039561.5164
"Korea","Donor","DAC","Non-EU","2017-05-16",NA,2010,NA,180.15,NA,NA,137.52,NA,NA,246.59,NA,NA,898.27,1037889.273851,NA,366.75,NA,NA,507.48,NA,NA,1014584.44,1172282618.46897,NA,900.63,1040616.091719,NA,2.36,2726.817868,NA,0,0,NA,273.15,315606.059595,NA,333.26,NA,NA,446.12,NA,112.86,NA,NA,NA,48.87,0,NA,114.85,NA,NA,217.01,NA,NA,1171.42,1353495.333446
"Korea","Donor","DAC","Non-EU","2017-05-16",NA,2011,NA,212.75,NA,NA,178.36,NA,NA,300.54,NA,NA,989.57,1095753.235968,NA,369.81,NA,NA,516.11,NA,NA,1117583.36,1237502736.72806,NA,989.57,1095753.235968,NA,0,0,NA,0,0,NA,335.02,370968.450048,NA,346.73,NA,NA,472.91,NA,126.18,NA,NA,NA,49.78,0,NA,148.96,NA,NA,263.28,NA,NA,1324.59,1466721.686016
"Korea","Donor","DAC","Non-EU","2017-05-16",NA,2012,NA,311.53,NA,NA,261.01,NA,NA,422.82,NA,NA,1183.17,1332166.5981,NA,430.19,NA,NA,641.43,NA,NA,1135477.07,1278467697.4251,NA,1183.17,1332166.5981,NA,0,0,NA,0,0,NA,414.28,466450.2804,NA,417,NA,NA,577.69,NA,160.69,NA,NA,NA,50,0,NA,230.8,NA,NA,384.63,NA,NA,1597.45,1798616.8785
"Korea","Donor","DAC","Non-EU","2017-05-16",NA,2013,NA,371.5,NA,NA,271.72,NA,NA,444.63,NA,NA,1309.58,1433516.03204,NA,567.61,NA,NA,802.95,NA,NA,1314695.72,1439115893.54936,NA,1309.58,1433516.03204,NA,0,0,NA,0,0,NA,445.8,487989.6204,NA,515.31,NA,NA,711.11,NA,195.8,NA,NA,NA,50.22,0,NA,250.98,NA,NA,415.05,NA,NA,1755.38,1921505.65244
"Korea","Donor","DAC","Non-EU","2017-05-16",NA,2014,NA,429.1,NA,NA,332.72,NA,NA,508.88,NA,NA,1395.77,1469835.13928,NA,591.29,NA,NA,830.23,NA,NA,1420969.41,1496371730.77224,NA,1395.77,1469835.13928,NA,0,0,NA,0,0,NA,460.96,485420.38144,NA,542,NA,NA,714.39,NA,172.39,NA,NA,NA,50.42,0,NA,313.33,NA,NA,479,NA,NA,1856.73,1955255.52072
"Korea","Donor","DAC","Non-EU","2017-05-16",NA,2015,NA,418.26,NA,NA,358.76,NA,NA,509.87,NA,NA,1468.79,1661655.34611,NA,633,NA,NA,833.15,NA,NA,1386121.93,1568132214.50637,NA,1468.79,1661655.34611,NA,0,0,NA,0,0,NA,446.6,505242.5994,NA,580.13,NA,NA,728.3,NA,148.17,NA,NA,NA,51.01,0,NA,341.48,NA,NA,486.89,NA,NA,1915.39,2166897.94551
"Korea","Donor","DAC","Non-EU","2017-05-16",NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1537.74,1784684.743956,NA,NA,NA,NA,NA,NA,NA,1412379.58,1639192769.32445,NA,1537.74,1784684.743956,NA,0,0,NA,0,0,NA,427.22,495827.003468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.25,0,NA,NA,NA,NA,NA,NA,NA,1964.96,2280511.747424
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2017-05-16",2015,2007,123.77,NA,NA,171.2,NA,NA,171.2,NA,NA,104.1786,NA,NA,103.59,NA,NA,103.59,NA,NA,0,NA,NA,104.1786,NA,NA,0,NA,NA,0,NA,NA,0.974435,NA,NA,89.43,NA,NA,89.43,NA,0,NA,NA,NA,0,NA,NA,89.99,NA,NA,89.99,NA,NA,105.153035,NA,NA
