"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Constant_price_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","Population_Constant Prices","Population_Current Prices","Population_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices","Total_ODA_ONE_National currency"
"Australia","Donor","DAC","Non-EU","2017-05-16",NA,2009,NA,191.16,NA,NA,93.8,NA,NA,228.61,NA,NA,2308.82,2955.2896,NA,970.05,NA,NA,1154.82,NA,NA,940528.91,1203877.0048,NA,2311.78,2959.0784,NA,2.96,3.7888,NA,1.19,1.5232,NA,449.83,575.7824,NA,568.14,NA,NA,709.14,NA,141,NA,NA,NA,21.88,0,NA,88.38,NA,NA,219.71,NA,NA,2758.65,3531.072
"Australia","Donor","DAC","Non-EU","2017-05-16",NA,2010,NA,329.6,NA,NA,189.82,NA,NA,429.31,NA,NA,3279.53,3575.343606,NA,1392.22,NA,NA,1715.73,NA,NA,1185552.19,1292488.997538,NA,3287.1,3583.59642,NA,7.57,8.252814,NA,5.53,6.028806,NA,538.99,587.606898,NA,852.1,NA,NA,1105.39,NA,253.29,NA,NA,NA,22.34,0,NA,150.51,NA,NA,379.36,NA,NA,3818.52,4162.950504
"Australia","Donor","DAC","Non-EU","2017-05-16",NA,2011,NA,478.39,NA,NA,388,NA,NA,599.88,NA,NA,4296.02,4163.702584,NA,1754.7,NA,NA,2025.32,NA,NA,1450350.8,1405679.99536,NA,4308.77,4176.059884,NA,12.75,12.3573,NA,0.02,0.019384,NA,674.14,653.376488,NA,1118.05,NA,NA,1343.33,NA,225.28,NA,NA,NA,23.2,0,NA,302.17,NA,NA,509.23,NA,NA,4970.16,4817.079072
"Australia","Donor","DAC","Non-EU","2017-05-16",NA,2012,NA,565.64,NA,NA,392.93,NA,NA,735.14,NA,NA,4531.66,4377.58356,NA,1851.07,NA,NA,2304.12,NA,NA,1496885.09,1445990.99694,NA,4540.05,4385.6883,NA,8.39,8.10474,NA,153.73,148.50318,NA,862.64,833.31024,NA,1247.56,NA,NA,1579.51,NA,331.95,NA,NA,NA,22.91,0,NA,368.29,NA,NA,700.92,NA,NA,5394.3,5210.8938
"Australia","Donor","DAC","Non-EU","2017-05-16",NA,2013,NA,472.76,NA,NA,315.67,NA,NA,583.1,NA,NA,4149.28,4301.558576,NA,1581.15,NA,NA,1969.54,NA,NA,1464361.92,1518104.002464,NA,4149.28,4301.558576,NA,0,0,NA,342.56,355.131952,NA,696.26,721.812742,NA,994.76,NA,NA,1299.36,NA,304.6,NA,NA,NA,23.32,0,NA,309.66,NA,NA,568.79,NA,NA,4845.54,5023.371318
"Australia","Donor","DAC","Non-EU","2017-05-16",NA,2014,NA,390.88,NA,NA,183.31,NA,NA,501.15,NA,NA,3498.29,3881.002926,NA,1380.52,NA,NA,1819.67,NA,NA,1394293,1546828.6542,NA,3498.29,3881.002926,NA,0,0,NA,0,0,NA,884.13,980.853822,NA,885.84,NA,NA,1218.63,NA,332.79,NA,NA,NA,23.63,0,NA,164.21,NA,NA,466.18,NA,NA,4382.42,4861.856748
"Australia","Donor","DAC","Non-EU","2017-05-16",NA,2015,NA,294.9,NA,NA,102.41,NA,NA,361.79,NA,NA,2744.38,3652.495342,NA,1061.6,NA,NA,1400.96,NA,NA,1200091.67,1597202.003603,NA,2752.19,3662.889671,NA,7.81,10.394329,NA,0,0,NA,741.42,986.755878,NA,678.75,NA,NA,931.03,NA,252.28,NA,NA,NA,24,0,NA,91.01,NA,NA,335.66,NA,NA,3485.8,4639.25122
"Australia","Donor","DAC","Non-EU","2017-05-16",NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2206.25,2968.068125,NA,NA,NA,NA,NA,NA,NA,1208588.42,1625914.001426,NA,2213.82,2978.252046,NA,7.57,10.183921,NA,0,0,NA,811.02,1091.065206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0,NA,NA,NA,NA,NA,NA,NA,3017.27,4059.133331
"Austria","Donor","DAC","EU","2017-05-16",2015,2007,210.31,NA,NA,57.43,NA,NA,279.76,NA,NA,371.745954,NA,NA,54.73,NA,NA,292.32,NA,NA,337639.847819,NA,NA,1231.416608,NA,NA,859.670654,NA,NA,46.633297,NA,NA,450.218216,NA,NA,40.02,NA,NA,230.01,NA,189.99,NA,NA,NA,0,NA,NA,53.47,NA,NA,249.43,NA,NA,821.96417,NA,NA
"Austria","Donor","DAC","EU","2017-05-16",2015,2008,210.54,NA,NA,97.08,NA,NA,282.04,NA,NA,433.702738,NA,NA,93.91,NA,NA,292.93,NA,NA,346843.73697,NA,NA,1069.437144,NA,NA,635.734406,NA,NA,39.079972,NA,NA,416.009255,NA,NA,78.5,NA,NA,238.53,NA,160.03,NA,NA,NA,0,NA,NA,91.78,NA,NA,256.28,NA,NA,849.711993,NA,NA
