"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_Constant Prices","Total_ODA_Current Prices","Total_ODA_Ex_DR_Constant Prices","Total_ODA_Ex_DR_Current Prices","Total_ODA_Ex_DR_National currency","Total_ODA_National currency"
"EU Institutions","Donor","Non-DAC","EU","2018-04-10",2012,3946.62,4394.8,3419.1544,6412.73,7140.96,5555.66688,6491.63,7228.78,5623.99084,15414.380677,17164.81,13354.22218,5223.66,5816.86,4525.51708,5369.22,5978.96,4651.63088,0,0,0,15421.510973,17172.75,13360.3995,7.130296,7.94,6.17732,0,0,0,275.073184,306.31,238.30918,3370.6,3753.35,2920.1063,3431.76,3821.43,61.16,68.08,52.96624,2973.07254,4349.78,4843.75,3768.4375,4427.84,4930.65,3836.0457,15696.584157,17479.06,15689.453861,17471.12,13592.53136,13598.70868
"EU Institutions","Donor","Non-DAC","EU","2018-04-10",2013,3138.22,3654.08,2752.253056,5094.89,5932.4,4468.28368,5132.04,5975.67,4500.874644,13503.031451,15722.7,11842.33764,4489.87,5227.88,3937.639216,4598.92,5354.83,4033.257956,0,0,0,13503.031451,15722.7,11842.33764,0,0,0,15.70643,18.2883,13.774748,203.064631,236.445,178.090374,3239.68,3772.23,2841.243636,3275.61,3814.06,35.93,41.83,31.506356,2872.749992,3866.34,4501.9,3390.83108,3902.71,4544.26,3422.736632,13706.096082,15959.145,13706.096082,15959.145,12020.428014,12020.428014
"EU Institutions","Donor","Non-DAC","EU","2018-04-10",2014,3668.75,4307.24,3246.366788,5738.58,6737.33,5077.925621,5752.84,6754.05,5090.527485,13959.720508,16389.3,12352.61541,5238.85,6150.58,4635.692146,5256.53,6171.34,4651.338958,0,0,0,13959.720508,16389.3,12352.61541,0,0,0,23.942923,28.11,21.186507,52.638656,61.8,46.57866,3766.99,4422.6,3333.31362,3777.76,4435.23,10.77,12.63,9.519231,3342.832851,4336.58,5091.33,3837.335421,4350.34,5107.48,3849.507676,14012.359164,16451.1,14012.359164,16451.1,12399.19407,12399.19407
"EU Institutions","Donor","Non-DAC","EU","2018-04-10",2015,3278.3,3262.91,2941.513365,5200.85,5176.41,4666.533615,5281.47,5256.67,4738.888005,13609.529689,13545.56,12211.32234,4864.13,4841.29,4364.422935,4944.99,4921.79,4436.993685,0,0,0,13609.529689,13545.56,12211.32234,0,0,0,0,0,0,124.625786,124.04,111.82206,3421.85,3405.77,3070.301655,3479.94,3463.61,58.09,57.84,52.14276,3122.444415,3905.88,3887.52,3504.59928,3986.02,3967.3,3576.52095,13734.155475,13669.6,13734.155475,13669.6,12323.1444,12323.1444
"EU Institutions","Donor","Non-DAC","EU","2018-04-10",2016,3919.91,3919.91,3544.774613,6327.72,6327.72,5722.157196,6526.67,6526.67,5902.067681,16832.4,16832.4,15221.53932,5914.48,5914.48,5348.464264,6119.5,6119.5,5533.86385,0,0,0,16832.4,16832.4,15221.53932,0,0,0,0,0,0,273.98,273.98,247.760114,4107.22,4107.22,3714.159046,4264.38,4264.38,157.16,157.16,142.119788,3856.278834,4255.03,4255.03,3847.823629,4450.97,4450.97,4025.012171,17106.38,17106.38,17106.38,17106.38,15469.299434,15469.299434
"EU Institutions","Donor","Non-DAC","EU","2018-04-10",2017,NA,NA,NA,6172.91530144477,6359.51,5641.521321,6359.00750872428,6551.2273969387,5811.59382382432,15625.357172,16097.68,14280.251928,NA,NA,NA,NA,NA,NA,0,0,0,15625.357172,16097.68,14280.251928,0,0,0,0,0,0,341.545765,351.87,312.143877,4203.01149462364,4330.06,3841.196226,4353.41867349116,4485.01368255837,150.407178867523,154.953682558373,137.459411797533,3978.65563779753,4464.75938717945,4599.72,4080.411612,4634.48097401482,4774.57192587088,4235.52275544005,15966.902937,16449.55,15966.902937,16449.55,14592.395805,14592.395805
"Finland","Donor","DAC","EU","2018-04-10",2007,310.26,321.37,234.760785,221.04,228.97,167.262585,399.65,413.96,302.39778,563.827117,584.05,426.648525,232.4,240.74,175.86057,423.04,438.21,320.112405,240404.076133,249026.69,181913.997045,563.827117,584.05,426.648525,0,0,0,17.009903,17.62,12.87141,383.53373,397.29,290.220345,200.41,207.58,151.63719,351.81,364.41,151.4,156.83,114.564315,266.201505,196.21,203.24,148.46682,354.48,367.16,268.21038,947.360847,981.34,947.360847,981.34,716.86887,716.86887
"Finland","Donor","DAC","EU","2018-04-10",2008,309.71,348.44,241.573452,232.79,261.9,181.57527,426.24,479.53,332.458149,614.241016,691.04,479.098032,232.26,261.33,181.180089,425.15,478.31,331.612323,236301.480484,265846.42,184311.322986,616.143186,693.18,480.581694,1.90217,2.14,1.483662,23.154924,26.05,18.060465,420.032982,472.55,327.618915,206.43,232.24,161.011992,363.65,409.1,157.22,176.86,122.617038,283.62903,200.04,225.07,156.041031,373.52,420.24,291.352392,1036.176168,1165.73,1034.273998,1163.59,806.716947,808.200609
"Finland","Donor","DAC","EU","2018-04-10",2009,351.39,388.84,279.226004,281.35,311.32,223.558892,490.44,542.71,389.720051,714.912387,791.1,568.08891,274.43,303.67,218.065427,482.5,533.94,383.422314,215007.139725,237920.27,170850.545887,714.912387,791.1,568.08891,0,0,0,37.13279,41.09,29.506729,451.015642,499.08,358.389348,241.98,267.75,192.271275,407.68,451.11,165.7,183.36,131.670816,323.942091,239.87,265.41,190.590921,423.57,468.7,336.57347,1165.928029,1290.18,1165.928029,1290.18,926.478258,926.478258
"Finland","Donor","DAC","EU","2018-04-10",2010,395.87,418.1,315.6655,295.69,312.29,235.77895,511.02,539.7,407.4735,794.449165,839.08,633.5054,316.09,333.84,252.0492,550.22,581.13,438.75315,229287.233821,242168.21,182836.99855,794.449165,839.08,633.5054,0,0,0,43.278676,45.71,34.51105,467.600955,493.87,372.87185,268.14,283.19,213.80845,455,480.55,186.86,197.36,149.0068,362.81525,269.21,284.32,214.6616,465.79,491.92,371.3996,1262.05012,1332.95,1262.05012,1332.95,1006.37725,1006.37725
"Finland","Donor","DAC","EU","2018-04-10",2011,341.62,388.56,279.452351834189,285.69,324.96,233.711231861329,494.98,563,404.90959975975,737.923334,839.316,603.636067,284.52,323.61,232.740311861906,491.24,558.72,401.831423761577,232748.698128,264729,190393.0968,737.923334,839.316,603.636067,0,0,0,30.897412,35.1428,25.274702,498.259759,566.722,407.586462,241.6,274.81,197.64335188273,404.44,460.01,162.84,185.2,133.195839920969,330.839191803699,237.15,269.74,193.997007884894,420.87,478.68,344.266655795732,1236.183093,1406.038,1236.183093,1406.038,1011.222529,1011.222529
"Finland","Donor","DAC","EU","2018-04-10",2012,372.07,402.78,313.36284,298.8,323.45,251.6441,526.67,570.12,443.55336,737.857743,798.727,621.409606,279.84,302.91,235.66398,504.72,546.31,425.02918,228339.260861,247176.01,192302.93578,737.857743,798.727,621.409606,0,0,0,21.083247,22.8225,17.755905,481.276317,520.979,405.321662,247.6,268.02,208.51956,410.83,444.7,163.23,176.68,137.45704,345.9766,239.82,259.6,201.9688,436.42,472.43,367.55054,1219.13406,1319.706,1219.13406,1319.706,1026.731268,1026.731268
"Finland","Donor","DAC","EU","2018-04-10",2013,385.96,442.57,333.343723938333,283.28,324.83,244.661955954739,516.37,592.11,445.977251917496,717.031561,822.202,619.282546,291.42,334.17,251.696843953437,532.75,610.9,460.129879914878,233823.946436,268120.02,201947.999064,717.031561,822.202,619.282546,0,0,0,18.184755,20.852,15.705726,534.723547,613.154,461.827593,254.02,291.27,219.384563959415,443.72,508.8,189.7,217.53,163.84359596969,383.228159929105,251.14,287.98,216.906535959873,457.11,524.16,394.797311926964,1251.755108,1435.356,1251.755108,1435.356,1081.110139,1081.110139
"Finland","Donor","DAC","EU","2018-04-10",2014,450.67,525.12,395.782944,343.04,399.75,301.291575,615.72,717.46,540.749602,804.607736,937.62,706.684194,343.89,400.7,302.00759,621.2,723.81,545.535597,236116.148622,275149.26,207379.997262,804.607736,937.62,706.684194,0,0,0,13.798866,16.08,12.119496,598.088147,696.96,525.298752,278.96,325.07,245.005259,487.04,567.52,208.08,242.45,182.734565,427.739824,278.1,324.07,244.251559,515.99,601.25,453.162125,1402.695883,1634.58,1402.695883,1634.58,1231.982946,1231.982946
"Finland","Donor","DAC","EU","2018-04-10",2015,365.17,362.93,327.181395,264.06,262.42,236.57163,508.66,505.54,455.74431,702.199608,697.86,629.12079,269.85,268.16,241.74624,530.99,527.72,475.73958,235427.214897,233972.27,210926.001405,702.199608,697.86,629.12079,0,0,0,39.282768,39.04,35.19456,593.809756,590.14,532.01121,237.21,235.75,212.528625,431.76,429.12,194.55,193.37,174.323055,386.85168,214.06,212.73,191.776095,434.16,431.51,389.006265,1296.009364,1288,1296.009364,1288,1161.132,1161.132
"Finland","Donor","DAC","EU","2018-04-10",2016,251.18,251.18,227.142074,188.45,188.45,170.415335,356.92,356.92,322.762756,638.41,638.41,577.314163,226.11,226.11,204.471273,398.88,398.88,360.707184,240842.64,240842.64,217793.999352,638.41,638.41,577.314163,0,0,0,130.19,130.19,117.730817,421.2,421.2,380.89116,195.43,195.43,176.727349,323.15,323.15,127.72,127.72,115.497196,292.224545,160.44,160.44,145.085892,292.75,292.75,264.733825,1059.61,1059.61,1059.61,1059.61,958.205323,958.205323
"Finland","Donor","DAC","EU","2018-04-10",2017,NA,NA,NA,129.881615214528,133.63,118.543173,344.013864964204,353.94210873676,313.98204466038,505.122169,519.7,461.02587,NA,NA,NA,NA,NA,NA,248090.894309,255250.8,226432.98468,505.122169,519.7,461.02587,0,0,0,75.258052,77.43,68.688153,518.982169,533.96,473.675916,127.97659414276,131.67,116.804457,301.976915501374,310.6919724689,174.000321358614,179.0219724689,158.810391777161,275.614848777161,104.134672259856,107.14,95.043894,279.935529975698,288.014472324395,255.497638398971,1024.104338,1053.66,1024.104338,1053.66,934.701786,934.701786
"France","Donor","DAC","EU","2018-04-10",2007,2808.88,3195.99,2334.670695,3127.32,3558.32,2599.35276,4789.44,5449.5,3980.85975,4184.239309,4760.92,3477.85206,2462.5,2801.88,2046.77334,4195.75,4774,3487.407,2288435.922554,2603832.99,1902099.999195,5500.411659,6258.49,4571.826945,1316.17235,1497.57,1093.974885,331.659929,377.37,275.668785,3185.998908,3625.1,2648.13555,1236.77,1407.22,1027.97421,2607.17,2966.49,1370.4,1559.27,1139.046735,2167.020945,2473.34,2814.21,2055.780405,3944.68,4488.32,3278.71776,8686.410567,9883.59,7370.238217,8386.02,6125.98761,7219.962495
"France","Donor","DAC","EU","2018-04-10",2008,2560.37,3142.64,2178.792312,2745.7,3370.12,2336.504196,4527.83,5557.51,3853.021683,4639.931186,5695.11,3948.419763,1683.69,2066.6,1432.77378,3483.3,4275.46,2964.176418,2306850.328895,2831457.16,1963049.249028,5433.266695,6668.86,4623.520638,793.335509,973.75,675.100875,302.815858,371.68,257.685744,3453.353827,4238.69,2938.683777,1065.07,1307.28,906.337224,2574.89,3160.44,1509.82,1853.16,1284.795828,2191.133052,2134.69,2620.16,1816.556928,3754.71,4608.57,3195.121581,8886.620522,10907.55,8093.285013,9933.8,6887.10354,7562.204415
"France","Donor","DAC","EU","2018-04-10",2009,3722.06,4415.04,3170.440224,3450.85,4093.36,2939.441816,5922.29,7024.88,5044.566328,4874.060934,5781.5,4151.69515,2136.92,2534.77,1820.218337,4507.26,5346.38,3839.235478,2257465.349549,2677753.95,1922895.111495,6058.749013,7186.75,5160.805175,1184.688079,1405.25,1009.110025,319.260897,378.7,271.94447,4564.916569,5414.8,3888.36788,931.3,1104.7,793.28507,2757.27,3270.6,1825.97,2165.9,1555.33279,2348.61786,2796.06,3316.66,2381.693546,5064.25,6007.1,4313.69851,10623.665582,12601.55,9438.977503,11196.3,8040.06303,9049.173055
"France","Donor","DAC","EU","2018-04-10",2010,3670.7,4185.94,3160.3847,3671.93,4187.36,3161.4568,5896.44,6724.15,5076.73325,5768.987126,6578.82,4967.0091,2259.64,2576.82,1945.4991,4598.07,5243.49,3958.83495,2285865.587814,2606748.45,1968095.07975,7063.927353,8055.54,6081.9327,1294.940227,1476.72,1114.9236,381.137129,434.64,328.1532,4261.362839,4859.56,3668.9678,1284.56,1464.87,1105.97685,3217.9,3669.59,1933.34,2204.72,1664.5636,2770.54045,3044.19,3471.5,2620.9825,5099.14,5814.91,4390.25705,11325.290192,12915.1,10030.349965,11438.38,8635.9769,9750.9005
"France","Donor","DAC","EU","2018-04-10",2011,3407.82,4118.23,2961.831016,3840.14,4640.64,3337.548288,5548.11,6704.66,4821.991472,5994.329498,7243.85,5209.77692,2463.82,2977.43,2141.367656,4028.31,4868.08,3501.123136,2340551.075318,2828439.93,2034213.997656,7029.431956,8494.72,6109.402624,1035.102458,1250.87,899.625704,451.37971,545.47,392.302024,3725.862415,4502.52,3238.212384,1786.45,2158.84,1552.637728,2988.24,3611.21,1201.79,1452.37,1044.544504,2597.182232,2871.52,3470.11,2495.703112,4360.72,5269.78,3790.025776,10755.294371,12997.24,9720.191913,11746.37,8447.989304,9347.615008
"France","Donor","DAC","EU","2018-04-10",2012,3298.96,3728.16,2900.50848,3652.54,4127.75,3211.3895,5375.08,6074.41,4725.89098,5711.510996,6454.59,5021.67102,2326.65,2629.34,2045.62652,3947.74,4461.37,3470.94586,2351176.628304,2657069.41,2067200.00098,7016.331269,7929.17,6168.89426,1304.820273,1474.58,1147.22324,448.578978,506.94,394.39932,3627.194713,4099.1,3189.0998,1124.12,1270.38,988.35564,2239.07,2530.4,1114.95,1260.02,980.29556,1968.6512,2696.14,3046.92,2370.50376,4144.71,4683.96,3644.12088,10643.525982,12028.27,9338.705709,10553.69,8210.77082,9357.99406
"France","Donor","DAC","EU","2018-04-10",2013,2351.06,2765.56,2083.019792,2693.51,3168.33,2386.386156,4393.08,5167.53,3892.183596,5189.742994,6104.65,4598.02238,1811.81,2131.22,1605.234904,3562.87,4191.02,3156.676264,2375182.768276,2793907.04,2104370.782528,5781.543636,6800.78,5122.347496,591.800642,696.13,524.325116,384.955636,452.82,341.064024,3858.023648,4538.16,3418.142112,1447.57,1702.75,1282.5113,2760.55,3247.22,1312.98,1544.47,1163.294804,2445.806104,1831.03,2153.8,1622.24216,3306.99,3889.98,2929.932936,9639.567284,11338.94,9047.766642,10642.81,8016.164492,8540.489608
"France","Donor","DAC","EU","2018-04-10",2014,2131.13,2519.54,1898.977298,2298.43,2717.35,2048.066695,3834.31,4533.16,3416.642692,5484.08522,6483.66,4886.734542,1297.02,1533.43,1155.746191,2826.59,3341.79,2518.707123,2440281.549294,2885067.47,2174475.352139,5509.477088,6513.68,4909.360616,25.391868,30.02,22.626074,410.32142,485.11,365.627407,3473.52633,4106.64,3095.174568,1061.28,1254.72,945.682464,2159.67,2553.29,1098.39,1298.57,978.732209,1924.414673,1604.63,1897.1,1429.84427,2897.37,3425.47,2581.776739,8983.003418,10620.32,8957.61155,10590.3,7981.90911,8004.535184
"France","Donor","DAC","EU","2018-04-10",2015,2434.99,2433.21,2193.538815,2132.29,2130.72,1920.84408,3866.22,3863.39,3482.846085,5022.050491,5018.34,4524.03351,1353.89,1352.89,1219.630335,3145.42,3143.11,2833.513665,2460480.461384,2458662.56,2216484.29784,5161.303377,5157.49,4649.477235,139.252886,139.15,125.443725,363.618656,363.35,327.560025,3884.680157,3881.81,3499.451715,1089.59,1088.79,981.544185,2378.73,2377,1289.14,1288.21,1161.321315,2142.8655,1646.44,1645.23,1483.174845,3165.05,3162.74,2851.21011,9045.983534,9039.3,8906.730648,8900.15,8023.485225,8148.92895
"France","Donor","DAC","EU","2018-04-10",2016,2336.01,2336.01,2112.453843,2216.69,2216.69,2004.552767,3914.21,3914.21,3539.620103,5554.24,5554.24,5022.699232,1387.48,1387.48,1254.698164,3033.05,3033.05,2742.787115,2503949.61,2503949.61,2264321.632323,5641.5,5641.5,5101.60845,87.26,87.26,78.909218,466.57,466.57,421.919251,3980.17,3980.17,3599.267731,886.22,886.22,801.408746,2103.16,2103.16,1216.94,1216.94,1100.478842,1901.887588,1455.39,1455.39,1316.109177,2777.11,2777.11,2511.340573,9621.67,9621.67,9534.41,9534.41,8621.966963,8700.876181
"France","Donor","DAC","EU","2018-04-10",2017,NA,NA,NA,2140.76081825111,2200.06,1951.673226,4043.86757689473,4155.88291105366,3686.6837303957,6315.412751,6490.35,5757.589485,NA,NA,NA,NA,NA,NA,2549162.209343,2619774.13,2324001.630723,6361.827072,6538.05,5799.904155,46.414321,47.7,42.31467,551.007076,566.27,502.338117,4694.939929,4824.99,4280.248629,846.667274154638,870.12,771.883452,2351.90542297976,2417.05332084134,1505.23814882512,1546.93332084134,1372.28454891835,2144.16800091835,1456.66043313823,1497.01,1327.997571,2961.03895908399,3043.05988636522,2699.49842519459,11056.767001,11363.04,11010.35268,11315.34,10037.838114,10080.152784
"G7 Countries, Total","Group","Group","Group","2018-04-10",2007,18700.18,19474.85,NA,16303.07,16754.71,NA,25220.29,26412.1,NA,42712.397845,42248.52,NA,25876.04,25722.2,NA,35685.4,36305.92,NA,31460624.707366,30675954.41,NA,49003.804853,48911.63,NA,6291.407008,6663.11,NA,1050.989903,1050.38,NA,19145.540902,20645.56,NA,13035.41,13127.11,NA,20867.41,21558.93,7832,8431.82,NA,NA,14086.21,14418.34,NA,22119.64,23090.13,NA,68149.345755,69557.19,61857.938747,62894.08,NA,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2008,19973.25,21168.35,NA,18326.36,19143.66,NA,28254.15,30310.9,NA,50523.365425,51492.98,NA,27788.95,28377.52,NA,38332.61,40212.72,NA,31811394.838171,32314440.49,NA,56720.125928,58537.44,NA,6196.760503,7044.46,NA,1151.607701,1184.48,NA,20991.884513,23543.69,NA,15433.47,15751.86,NA,24194.91,25577.55,8761.44,9825.69,NA,NA,16174.32,16783.48,NA,25279.34,27014.88,NA,77712.010441,82081.13,71515.249938,75036.67,NA,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2009,21296.46,22110.42,NA,19466.84,19921.39,NA,29663.5,31063.03,NA,55552.596679,55967.38,NA,25878.31,25539.89,NA,36505.98,37125.64,NA,30464983.585404,30896561.05,NA,56511.905076,57040.31,NA,959.308397,1072.93,NA,1426.671675,1419.89,NA,22477.447529,24518.48,NA,16814.25,16734.4,NA,25056.3,25723.57,8242.05,8989.17,NA,NA,17424.82,17670.93,NA,26703.94,27796.12,NA,78989.352605,81558.79,78030.044208,80485.86,NA,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2010,23072.24,24132.78,NA,19866.72,20530.71,NA,31324.53,32917.06,NA,58655.256164,59785.82,NA,27681,27865.44,NA,40271.62,41503.52,NA,31379169.245259,32082730.73,NA,60651.788279,62045.88,NA,1996.532115,2260.06,NA,1549.06623,1579.58,NA,23888.263558,25832.16,NA,19155.43,19476.81,NA,29280.95,30441.38,10125.52,10964.57,NA,NA,18246.6,18726.24,NA,28924.3,30267.03,NA,84540.051837,87878.04,82543.519722,85617.98,NA,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2011,23660.99,25652.89,NA,22350.35,23978.72,NA,32439.21,35496.3,NA,58618.554889,62515.79,NA,29232.23,30712.89,NA,39344.27,42250.63,NA,31889837.29465,34121137.35,NA,61793.735601,66009.48,NA,3175.180712,3493.69,NA,2047.328525,2258.11,NA,23376.714013,26749.95,NA,21033.58,22244.39,NA,29220.13,31589,8186.55,9344.61,NA,NA,20058.84,21341.02,NA,29134.82,31682.53,NA,85170.449614,92759.43,81995.268902,89265.74,NA,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2012,24274.46,26010.58,NA,21621.64,22947.34,NA,32581.39,35030.37,NA,56164.566573,59287.54,NA,26452.51,27948.99,NA,37913.15,40620.41,NA,33130098.084885,35035739.46,NA,58273.021613,61659.89,NA,2108.45504,2372.35,NA,1868.50084,1973.34,NA,24260.864663,26843.6,NA,19108.94,20200.87,NA,27267.07,29228.29,8158.13,9027.42,NA,NA,19440.11,20544.61,NA,29198,31297.82,NA,82533.886276,88503.49,80425.431236,86131.14,NA,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2013,24523.88,26055.56,NA,21659.19,22891.69,NA,32800.93,35186.16,NA,59486.02088,62779.55,NA,30595.72,31980.27,NA,43002.04,45619.08,NA,33805974.702691,35228610.42,NA,62477.668086,66034.97,NA,2991.647206,3255.42,NA,2082.150714,2234.03,NA,25848.449966,28516.64,NA,21595.25,22687.43,NA,31263.91,33310.38,9668.66,10622.95,NA,NA,19255.35,20189.28,NA,29416.05,31368.15,NA,88326.118052,94551.61,85334.470846,91296.19,NA,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2014,23192.44,25124.3,NA,20952.21,22527.33,NA,32979.25,35914.31,NA,62608.340524,67079.93,NA,25304.55,26818.23,NA,38348.03,41261.44,NA,34447820.974985,36100907.22,NA,63081.662886,67622.09,NA,473.322362,542.16,NA,2911.725801,3180.97,NA,26601.118312,29655.66,NA,18347,19467.78,NA,27729.95,29852.67,9382.95,10384.89,NA,NA,18404.19,19569.09,NA,28908.41,31217.61,NA,89682.781198,97277.75,89209.458836,96735.59,NA,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2015,23372.4,23570.5,NA,21723.12,21813.6,NA,32710.7,32938.73,NA,68263.112474,68309.34,NA,26592.09,26641.49,NA,38220.36,38371.09,NA,35410663.348794,34911289.79,NA,68567.558083,68609.77,NA,304.445609,300.43,NA,6176.743496,6170.76,NA,25132.575796,25391.36,NA,19400.62,19387.63,NA,27857.61,27919.07,8456.99,8531.44,NA,NA,19194.71,19294.9,NA,28913.42,29119.65,NA,93700.133879,94001.13,93395.68827,93700.7,NA,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2016,25374.68,25374.68,NA,22238.34,22238.34,NA,35347.69,35347.69,NA,77209.8,77209.8,NA,28675.69,28675.69,NA,42161.62,42161.62,NA,35590864.031024,35590864.031024,NA,77459.12,77459.12,NA,249.32,249.32,NA,11383.4,11383.4,NA,28797.3,28797.3,NA,19195.63,19195.63,NA,29482.23,29482.23,10286.6,10286.6,NA,NA,19304.14,19304.14,NA,30422.35,30422.35,NA,106256.42,106256.42,106007.1,106007.1,NA,NA
"G7 Countries, Total","Group","Group","Group","2018-04-10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,80254.638414,81244.26,NA,NA,NA,NA,NA,NA,NA,36527844.500038,36942623.238167,NA,80543.422448,81538.81,NA,288.784034,294.55,NA,0,0,NA,28979.191001,29193.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109522.613449,110732.28,109233.829415,110437.73,NA,NA
"Germany","Donor","DAC","EU","2018-04-10",2007,3106.89,3378.51,2468.001555,2221.24,2415.45,1764.486225,4141.96,4504.09,3290.237745,4709.862224,5121.65,3741.365325,4125.81,4486.54,3277.41747,6182.58,6723.15,4911.261075,3080926.00196,3350294.32,2447390.00076,7310.634231,7949.81,5807.336205,2600.772007,2828.16,2065.97088,12.984732,14.12,10.31466,3991.876413,4340.89,3171.020145,1165.49,1267.43,925.857615,2791.95,3036.11,1626.46,1768.68,1292.02074,2217.878355,1804.05,1961.8,1433.0949,3480.83,3785.17,2765.066685,11302.510644,12290.7,8701.738637,9462.54,6912.38547,8978.35635
"Germany","Donor","DAC","EU","2018-04-10",2008,2848.98,3291.55,2282.031615,2339.41,2702.81,1873.858173,4382.41,5063.17,3510.295761,5624.739116,6498.42,4505.354586,3622.44,4185.12,2901.543696,5722.48,6611.35,4583.648955,3161016.897146,3652012.12,2531940.002796,7844.246862,9062.68,6283.156044,2219.507746,2564.26,1777.801458,63.514417,73.38,50.874354,4256.954679,4918.18,3409.774194,1521.88,1758.28,1219.015524,3240.33,3743.66,1718.45,1985.38,1376.463954,2595.479478,1940.68,2242.13,1554.468729,3786.8,4375.04,3033.215232,12101.201541,13980.86,9881.693795,11416.6,7915.12878,9692.930238
"Germany","Donor","DAC","EU","2018-04-10",2009,2544.59,2888.2,2074.01642,1835.71,2083.61,1496.240341,3824.77,4341.25,3117.451625,6177.242201,7011.4,5034.88634,1996.36,2265.95,1627.178695,3971.36,4507.62,3236.921922,2998453.20495,3403356.08,2443950.001048,6252.235334,7096.52,5096.011012,74.993133,85.12,61.124672,61.328384,69.61,49.986941,4389.838307,4982.63,3578.026603,1446.23,1641.53,1178.782693,2987.31,3390.68,1541.08,1749.15,1256.064615,2434.847308,1386.25,1573.45,1129.894445,3149.21,3574.45,2566.812545,10642.073641,12079.15,10567.080508,11994.03,8612.912943,8674.037615
"Germany","Donor","DAC","EU","2018-04-10",2010,2809.59,3055.96,2307.2498,1790.51,1947.52,1470.3776,3863.11,4201.89,3172.42695,7265.488568,7902.66,5966.5083,2307.48,2509.84,1894.9292,4466.08,4857.73,3667.58615,3087240.795325,3357986.75,2535279.99625,7387.645597,8035.53,6066.82515,122.157029,132.87,100.31685,74.662244,81.21,61.31355,4550.737762,4949.83,3737.12165,1623.15,1765.49,1332.94495,3349.68,3643.41,1726.53,1877.92,1417.8296,2750.77455,1434.85,1560.69,1178.32095,3304.15,3593.93,2713.41715,11938.383359,12985.36,11816.22633,12852.49,9703.62995,9803.9468
"Germany","Donor","DAC","EU","2018-04-10",2011,2760.28,3185.81,2291.234552,2231.19,2575.19,1852.076648,4230.31,4882.52,3511.508384,7329.927578,8460.08,6084.489536,2446.05,2823.15,2030.40948,4321.94,4988.25,3587.5494,3156807.484565,3643534.48,2620429.998016,7569.21366,8736.26,6283.118192,239.286082,276.18,198.628656,74.580875,86.08,61.908736,4641.099902,5356.68,3852.524256,1678.22,1936.95,1393.05444,3178.17,3668.16,1499.95,1731.21,1245.086232,2638.140672,1722.57,1988.15,1429.87748,3457.2,3990.22,2869.766224,12210.313562,14092.94,11971.02748,13816.76,9937.013792,10135.642448
