"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Constant_price_date","Time_Period","Africa_Fragile_ODA_Constant_Prices","Africa_Fragile_ODA_Current_Prices","Africa_ODA_Bilateral_Constant_Prices","Africa_ODA_Bilateral_Current_Prices","Africa_ODA_Constant_Prices","Africa_ODA_Current_Prices","Bilat_ODA_Ex_Debt_Relief_Constant_Prices","Bilat_ODA_Ex_Debt_Relief_Current_Prices","Fragile_State_ODA_Bilateral_Constant_Prices","Fragile_State_ODA_Bilateral_Current_Prices","Fragile_State_ODA_Constant_Prices","Fragile_State_ODA_Current_Prices","GNI_Constant_Prices","GNI_Current_Prices","IA_Bilateral_ODA_Constant_Prices","IA_Bilateral_ODA_Current_Prices","IA6_Debt_Relief_Constant_Prices","IA6_Debt_Relief_Current_Prices","IA82_In_Donor_Refugee_Cost_Constant_Prices","IA82_In_Donor_Refugee_Cost_Current_Prices","IB_Multilateral_ODA_Constant_Prices","IB_Multilateral_ODA_Current_Prices","LDC_ODA_Bilateral_Constant_Prices","LDC_ODA_Bilateral_Current_Prices","LDC_ODA_Constant_Prices","LDC_ODA_Current_Prices","LDC_ODA_Imputed_Multilateral_Constant_Prices","LDC_ODA_Imputed_Multilateral_Current_Prices","SSA_ODA_Bilateral_Constant_Prices","SSA_ODA_Bilateral_Current_Prices","SSA_ODA_Constant_Prices","SSA_ODA_Current_Prices","Total_ODA_ONE_Constant_Prices","Total_ODA_ONE_Current_Prices"
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",NA,2009,NA,117.38,NA,154.37,NA,154.37,NA,220.24,NA,106.44,NA,106.44,NA,0,NA,220.24,NA,0,NA,0,NA,0.88,NA,70.49,NA,70.49,NA,0,NA,72.8,NA,72.8,NA,221.12
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",NA,2010,NA,92.03,NA,130.92,NA,130.92,NA,210.58,NA,66.58,NA,66.58,NA,0,NA,210.58,NA,0,NA,0,NA,21.71,NA,70.03,NA,70.03,NA,0,NA,56.92,NA,56.92,NA,232.29
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",NA,2011,NA,134.63,NA,170.38,NA,170.38,NA,144.42,NA,109.14,NA,109.14,NA,0,NA,144.42,NA,0,NA,0,NA,30.73,NA,47.18,NA,47.18,NA,0,NA,54.13,NA,54.13,NA,175.15
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",NA,2012,NA,134.85,NA,118.63,NA,118.63,NA,148.92,NA,178.16,NA,178.16,NA,0,NA,148.92,NA,0,NA,0,NA,30.82,NA,34.48,NA,34.48,NA,0,NA,43.12,NA,43.12,NA,179.74
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",NA,2013,NA,64.97,NA,164.99,NA,164.99,NA,185.47,NA,76.49,NA,76.49,NA,0,NA,185.47,NA,0,NA,0,NA,45.57,NA,60.74,NA,60.74,NA,0,NA,66.02,NA,66.02,NA,231.04
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",NA,2014,NA,57.45,NA,114.09,NA,135.7,NA,228.91,NA,51.44,NA,68.54,NA,0,NA,228.91,NA,0,NA,0,NA,47.92,NA,45.91,NA,59.85,NA,13.94,NA,49.41,NA,68.64,NA,276.83
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",NA,2015,NA,95.4,NA,192.75,NA,192.75,NA,304.27,NA,126.24,NA,126.24,NA,0,NA,304.27,NA,0,NA,0,NA,0.19,NA,100.64,NA,100.64,NA,0,NA,102.02,NA,102.02,NA,304.46
"Kuwait (KFAED)","Donor","Non-DAC","Non-EU","2018-01-02",NA,2016,NA,94.09,NA,415.94,NA,420.29,NA,1048.15,NA,432.22,NA,435.27,NA,0,NA,1048.15,NA,0,NA,0,NA,31.94,NA,223.7,NA,226.38,NA,2.68,NA,137.18,NA,140.66,NA,1080.09
"Latvia","Donor","Non-DAC","EU","2018-01-02",2016,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Donor","Non-DAC","EU","2018-01-02",2016,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Donor","Non-DAC","EU","2018-01-02",2016,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Donor","Non-DAC","EU","2018-01-02",2016,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Donor","Non-DAC","EU","2018-01-02",2016,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Donor","Non-DAC","EU","2018-01-02",2016,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Donor","Non-DAC","EU","2018-01-02",2016,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Donor","Non-DAC","EU","2018-01-02",2016,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Donor","Non-DAC","EU","2018-01-02",2016,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Donor","Non-DAC","EU","2018-01-02",2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia","Donor","Non-DAC","EU","2018-01-02",NA,2007,NA,4.58,NA,0,NA,6.59,NA,1.46,NA,0.11,NA,6.61,NA,26345,NA,1.46,NA,0,NA,0,NA,14.33,NA,0.11,NA,4.95,NA,4.84,NA,0,NA,5.31,NA,15.79
"Latvia","Donor","Non-DAC","EU","2018-01-02",NA,2008,NA,0,NA,0,NA,0,NA,4.25,NA,0.69,NA,0.69,NA,33135.2,NA,4.25,NA,0,NA,0,NA,17.57,NA,0.63,NA,0.63,NA,0,NA,0,NA,0,NA,21.82
"Latvia","Donor","Non-DAC","EU","2018-01-02",NA,2009,NA,0,NA,0,NA,0,NA,2,NA,0.18,NA,0.18,NA,28162.9,NA,2,NA,0,NA,0,NA,18.98,NA,0.14,NA,0.14,NA,0,NA,0,NA,0,NA,20.98
"Latvia","Donor","Non-DAC","EU","2018-01-02",NA,2010,NA,0,NA,0,NA,0,NA,1.6,NA,0.24,NA,0.24,NA,24535.4,NA,1.6,NA,0,NA,0,NA,14.04,NA,0.24,NA,0.24,NA,0,NA,0,NA,0,NA,15.64
"Latvia","Donor","Non-DAC","EU","2018-01-02",NA,2011,NA,0.01,NA,0.01,NA,0.01,NA,1.27,NA,0.16,NA,0.16,NA,28243.2,NA,1.27,NA,0,NA,0,NA,17.86,NA,0.15,NA,0.15,NA,0,NA,0,NA,0,NA,19.13
"Latvia","Donor","Non-DAC","EU","2018-01-02",NA,2012,NA,5.7,NA,0,NA,8.76,NA,1.16,NA,0.33,NA,7.9,NA,28269.71,NA,1.16,NA,0,NA,0,NA,19.95,NA,0.27,NA,5.2,NA,4.93,NA,0,NA,6.49,NA,21.11
"Latvia","Donor","Non-DAC","EU","2018-01-02",NA,2013,NA,5.76,NA,0.03,NA,8.69,NA,1.45,NA,0.3,NA,8.59,NA,31040.6,NA,1.45,NA,0,NA,0,NA,22.27,NA,0.22,NA,6.15,NA,5.93,NA,0.03,NA,6.76,NA,23.72
"Latvia","Donor","Non-DAC","EU","2018-01-02",NA,2014,NA,5.29,NA,0,NA,8.45,NA,2.07,NA,0.24,NA,7.72,NA,31613.46,NA,2.07,NA,0,NA,0,NA,23.3,NA,0.22,NA,5.59,NA,5.37,NA,0,NA,6.23,NA,25.37
"Latvia","Donor","Non-DAC","EU","2018-01-02",NA,2015,NA,4.31,NA,0.07,NA,7.03,NA,2.21,NA,0.32,NA,6.69,NA,27038.95,NA,2.21,NA,0,NA,0.36,NA,20.96,NA,0.14,NA,4.61,NA,4.47,NA,0.06,NA,5.21,NA,23.17
"Latvia","Donor","Non-DAC","EU","2018-01-02",NA,2016,NA,5.46,NA,0,NA,9.09,NA,3.39,NA,0.07,NA,8.41,NA,27758.61,NA,3.39,NA,0,NA,1.76,NA,26.79,NA,0.06,NA,5.95,NA,5.89,NA,0,NA,6.17,NA,30.18
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2016,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2016,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2016,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2016,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2016,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2016,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2016,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2016,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2016,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",NA,2007,NA,0.32,NA,0,NA,0.43,NA,16.67,NA,0,NA,0.46,NA,4122.35,NA,16.67,NA,0,NA,0,NA,1.3,NA,0,NA,0.34,NA,0.34,NA,0,NA,0.36,NA,17.97
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",NA,2008,NA,0,NA,0,NA,0,NA,20.86,NA,0,NA,0,NA,4513.04,NA,20.86,NA,0,NA,0,NA,2.83,NA,0,NA,0,NA,0,NA,0,NA,0,NA,23.69
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",NA,2009,NA,0,NA,0,NA,0,NA,21.1,NA,0,NA,0,NA,3884,NA,21.1,NA,0,NA,0,NA,5.14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,26.24
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",NA,2010,NA,0,NA,0,NA,0,NA,21.8,NA,0,NA,0,NA,4287,NA,21.8,NA,0,NA,0,NA,4.83,NA,0,NA,0,NA,0,NA,0,NA,0,NA,26.63
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",NA,2011,NA,0,NA,0,NA,0,NA,25.81,NA,0,NA,0,NA,4537,NA,25.81,NA,0,NA,0,NA,5.65,NA,0,NA,0,NA,0,NA,0,NA,0,NA,31.46
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",NA,2012,NA,0,NA,0,NA,0,NA,23.9,NA,0,NA,0,NA,3809,NA,23.9,NA,0,NA,0,NA,4.7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,28.6
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",NA,2013,NA,0,NA,0,NA,0,NA,23.71,NA,0,NA,0,NA,4395,NA,23.71,NA,0,NA,0,NA,4.55,NA,0,NA,0,NA,0,NA,0,NA,0,NA,28.26
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",NA,2014,NA,0,NA,0,NA,0,NA,23.17,NA,0,NA,0,NA,5421,NA,23.17,NA,0,NA,0,NA,4.16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,27.33
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",NA,2015,NA,0,NA,0,NA,0,NA,19.05,NA,0,NA,0,NA,0,NA,19.05,NA,0,NA,0,NA,5.17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,24.22
"Liechtenstein","Donor","Non-DAC","EU","2018-01-02",NA,2016,NA,0,NA,0,NA,0,NA,18.86,NA,0,NA,0,NA,0,NA,18.86,NA,0,NA,0,NA,5.71,NA,0,NA,0,NA,0,NA,0,NA,0,NA,24.57
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2016,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2016,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2016,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2016,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2016,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2016,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2016,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2016,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2016,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","Donor","Non-DAC","EU","2018-01-02",2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","Donor","Non-DAC","EU","2018-01-02",NA,2007,NA,7.75,NA,0.41,NA,11.33,NA,23.76,NA,18.64,NA,29.55,NA,42424.56,NA,23.76,NA,0,NA,0,NA,23.84,NA,18.52,NA,26.71,NA,8.19,NA,0.41,NA,9.29,NA,47.6
"Lithuania","Donor","Non-DAC","EU","2018-01-02",NA,2008,NA,10.71,NA,0.04,NA,15.1,NA,14.87,NA,10.09,NA,25.25,NA,43491.88,NA,14.87,NA,0,NA,0,NA,32.97,NA,10.07,NA,22.16,NA,12.09,NA,0.04,NA,13.06,NA,47.84
"Lithuania","Donor","Non-DAC","EU","2018-01-02",NA,2009,NA,7.2,NA,0.03,NA,12.09,NA,7.93,NA,5.94,NA,16.78,NA,32650.98,NA,7.93,NA,0,NA,0,NA,28.28,NA,5.92,NA,14.35,NA,8.43,NA,0.03,NA,10.36,NA,36.21
"Lithuania","Donor","Non-DAC","EU","2018-01-02",NA,2010,NA,5.94,NA,0.01,NA,8.62,NA,16.4,NA,13.07,NA,21.89,NA,35098.15,NA,16.4,NA,0,NA,0,NA,20.34,NA,13.03,NA,19.98,NA,6.95,NA,0.01,NA,7.44,NA,36.74
"Lithuania","Donor","Non-DAC","EU","2018-01-02",NA,2011,NA,7.02,NA,0.04,NA,11.77,NA,20.55,NA,14.53,NA,24.72,NA,41297.85,NA,20.55,NA,0,NA,0,NA,31.13,NA,14.39,NA,22.29,NA,7.9,NA,0,NA,9.24,NA,51.68
"Lithuania","Donor","Non-DAC","EU","2018-01-02",NA,2012,NA,8.16,NA,0,NA,12.72,NA,22.06,NA,17.31,NA,28.17,NA,40820.6,NA,22.06,NA,0,NA,0,NA,29.85,NA,17.31,NA,24.41,NA,7.1,NA,0,NA,9.22,NA,51.91
"Lithuania","Donor","Non-DAC","EU","2018-01-02",NA,2013,NA,7.94,NA,0.02,NA,12.46,NA,17.71,NA,10.32,NA,21.51,NA,44280.1,NA,17.71,NA,0,NA,0,NA,32.7,NA,10.32,NA,18.42,NA,8.1,NA,0,NA,9.47,NA,50.41
"Lithuania","Donor","Non-DAC","EU","2018-01-02",NA,2014,NA,9.15,NA,0.04,NA,14.72,NA,6.44,NA,0.23,NA,13.1,NA,46706.67,NA,6.44,NA,0,NA,0,NA,39.13,NA,0.1,NA,9.33,NA,9.23,NA,0.03,NA,10.76,NA,45.57
"Lithuania","Donor","Non-DAC","EU","2018-01-02",NA,2015,NA,8.66,NA,0.03,NA,13.68,NA,9.81,NA,0.15,NA,12.98,NA,39615.03,NA,9.81,NA,0,NA,0.8,NA,38.3,NA,0.06,NA,9.09,NA,9.03,NA,0.02,NA,10.36,NA,48.11
"Lithuania","Donor","Non-DAC","EU","2018-01-02",NA,2016,NA,9.53,NA,0.02,NA,15.51,NA,13.88,NA,0.21,NA,14.67,NA,41074.09,NA,13.88,NA,0,NA,1.48,NA,43.21,NA,0.07,NA,10.3,NA,10.23,NA,0.02,NA,10.74,NA,57.09
"Luxembourg","Donor","DAC","EU","2018-01-02",2016,2007,99.9657957096099,NA,128.817154820233,NA,172.471367450772,NA,248.298029425722,NA,91.8051226572672,NA,145.305045272926,NA,39815.8846354747,NA,248.298029425722,NA,0,NA,0,NA,119.598435321728,NA,102.963593973736,NA,143.179155654248,NA,40.2155616805124,NA,115.45442007426,NA,153.181613261021,NA,367.89646474745,NA
"Luxembourg","Donor","DAC","EU","2018-01-02",2016,2008,103.08289328159,NA,122.316445356172,NA,170.641863173334,NA,249.168430666677,NA,93.1261753936777,NA,145.262520273058,NA,38345.1723748509,NA,249.168430666677,NA,0,NA,0,NA,122.039124372771,NA,105.212002767055,NA,146.2197249577,NA,41.0077221906454,NA,112.708615157055,NA,154.07417087467,NA,371.207555039448,NA
"Luxembourg","Donor","DAC","EU","2018-01-02",2016,2009,102.403812262761,NA,122.815105022088,NA,171.93749073128,NA,243.143926286659,NA,89.6981710019168,NA,143.464057258237,NA,36352.2290411398,NA,243.143926286659,NA,0,NA,0,NA,135.950361491033,NA,99.3599428096235,NA,139.871742858589,NA,40.5118000489652,NA,115.996106187132,NA,161.873525962799,NA,379.094287777692,NA
"Luxembourg","Donor","DAC","EU","2018-01-02",2016,2010,97.9729287867042,NA,117.758599786708,NA,171.049120131303,NA,243.040021505438,NA,89.5410605546351,NA,148.406446474009,NA,35691.9683625915,NA,243.040021505438,NA,0,NA,0,NA,130.503799952674,NA,95.2643418518702,NA,141.91325861653,NA,46.6489167646597,NA,105.096883464624,NA,152.793986269134,NA,373.543821458112,NA
"Luxembourg","Donor","DAC","EU","2018-01-02",2016,2011,89.577949171659,NA,105.293083031045,NA,147.531720711046,NA,235.827335193857,NA,91.6603730253437,NA,135.163640576004,NA,35461.5705117991,NA,235.827335193857,NA,0,NA,0,NA,109.194044638737,NA,92.4697361425653,NA,127.93838858164,NA,35.4686524390748,NA,98.8266089590764,NA,136.723350749816,NA,345.021379832593,NA
"Luxembourg","Donor","DAC","EU","2018-01-02",2016,2012,91.7024694171331,NA,96.9314310169463,NA,143.13837739897,NA,246.010193362642,NA,83.4054946337559,NA,131.924566893248,NA,35350.6350009171,NA,246.010193362642,NA,0,NA,0.0266783755092513,NA,108.838879285909,NA,93.5788484946171,NA,129.541298681088,NA,35.9624501864707,NA,90.7954046498185,NA,131.47103450959,NA,354.849072648551,NA
"Luxembourg","Donor","DAC","EU","2018-01-02",2016,2013,97.4685328036609,NA,106.12224147583,NA,148.239214993805,NA,253.017676072108,NA,99.8394118919265,NA,147.892050555881,NA,36293.459420296,NA,253.017676072108,NA,0,NA,0.291279430844056,NA,110.50752104659,NA,101.753050013169,NA,137.663400775078,NA,35.9103507619082,NA,98.772516302207,NA,135.665088400682,NA,363.525197118698,NA
"Luxembourg","Donor","DAC","EU","2018-01-02",2016,2014,98.9015526476902,NA,116.229744789486,NA,154.536801587799,NA,250.404462008643,NA,102.702252800003,NA,145.893542688789,NA,33142.6304249014,NA,250.404462008643,NA,0,NA,0,NA,102.343853443535,NA,112.70409530609,NA,143.584784043634,NA,30.8806887375436,NA,106.027865433277,NA,139.450689141118,NA,352.748315452178,NA
"Luxembourg","Donor","DAC","EU","2018-01-02",2016,2015,105.131829597206,NA,125.864959975464,NA,165.373037084485,NA,258.480241469431,NA,113.358168940454,NA,155.77892122364,NA,37496.5304971014,NA,258.480241469431,NA,0,NA,0,NA,98.5979906929991,NA,119.488562972564,NA,151.527989888373,NA,32.0394269158089,NA,118.976876793319,NA,153.997859715113,NA,357.07823216243,NA
"Luxembourg","Donor","DAC","EU","2018-01-02",2016,2016,115.08,NA,122.74,NA,168.53,NA,274.83,NA,121.52,NA,170.62,NA,39073.95,NA,274.83,NA,0,NA,0,NA,116.2,NA,126.52,NA,164.34,NA,37.82,NA,115.97,NA,154.78,NA,391.03,NA
"Luxembourg","Donor","DAC","EU","2018-01-02",NA,2007,NA,102.04,NA,131.49,NA,176.05,NA,253.45,NA,93.71,NA,148.32,NA,40642.03,NA,253.45,NA,0,NA,0,NA,122.08,NA,105.1,NA,146.15,NA,41.05,NA,117.85,NA,156.36,NA,375.53
"Luxembourg","Donor","DAC","EU","2018-01-02",NA,2008,NA,115.23,NA,136.73,NA,190.75,NA,278.53,NA,104.1,NA,162.38,NA,42863.7,NA,278.53,NA,0,NA,0,NA,136.42,NA,117.61,NA,163.45,NA,45.84,NA,125.99,NA,172.23,NA,414.95
"Luxembourg","Donor","DAC","EU","2018-01-02",NA,2009,NA,112.03,NA,134.36,NA,188.1,NA,266,NA,98.13,NA,156.95,NA,39769.42,NA,266,NA,0,NA,0,NA,148.73,NA,108.7,NA,153.02,NA,44.32,NA,126.9,NA,177.09,NA,414.73
"Luxembourg","Donor","DAC","EU","2018-01-02",NA,2010,NA,105.62,NA,126.95,NA,184.4,NA,262.01,NA,96.53,NA,159.99,NA,38477.83,NA,262.01,NA,0,NA,0,NA,140.69,NA,102.7,NA,152.99,NA,50.29,NA,113.3,NA,164.72,NA,402.7
"Luxembourg","Donor","DAC","EU","2018-01-02",NA,2011,NA,106.25,NA,124.89,NA,174.99,NA,279.719,NA,108.72,NA,160.32,NA,42061.6,NA,279.719,NA,0,NA,0,NA,129.517,NA,109.68,NA,151.75,NA,42.07,NA,117.22,NA,162.17,NA,409.236
"Luxembourg","Donor","DAC","EU","2018-01-02",NA,2012,NA,103.12,NA,109,NA,160.96,NA,276.64,NA,93.79,NA,148.35,NA,39752.01,NA,276.64,NA,0,NA,0.03,NA,122.39,NA,105.23,NA,145.67,NA,40.44,NA,102.1,NA,147.84,NA,399.03
"Luxembourg","Donor","DAC","EU","2018-01-02",NA,2013,NA,115.11,NA,125.33,NA,175.07,NA,298.813,NA,117.91,NA,174.66,NA,42862.45,NA,298.813,NA,0,NA,0.344,NA,130.509,NA,120.17,NA,162.58,NA,42.41,NA,116.65,NA,160.22,NA,429.322
"Luxembourg","Donor","DAC","EU","2018-01-02",NA,2014,NA,118.66,NA,139.45,NA,185.41,NA,300.43,NA,123.22,NA,175.04,NA,39763.83,NA,300.43,NA,0,NA,0,NA,122.79,NA,135.22,NA,172.27,NA,37.05,NA,127.21,NA,167.31,NA,423.22
"Luxembourg","Donor","DAC","EU","2018-01-02",NA,2015,NA,106.84,NA,127.91,NA,168.06,NA,262.68,NA,115.2,NA,158.31,NA,38105.77,NA,262.68,NA,0,NA,0,NA,100.2,NA,121.43,NA,153.99,NA,32.56,NA,120.91,NA,156.5,NA,362.88
"Luxembourg","Donor","DAC","EU","2018-01-02",NA,2016,NA,115.08,NA,122.74,NA,168.53,NA,274.83,NA,121.52,NA,170.62,NA,39073.95,NA,274.83,NA,0,NA,0,NA,116.2,NA,126.52,NA,164.34,NA,37.82,NA,115.97,NA,154.78,NA,391.03
"Luxembourg","Donor","DAC","EU","2018-04-09",2016,2017,NA,NA,99.1703220995508,NA,143.278041909766,NA,297.616763364223,NA,NA,NA,NA,NA,40971.8179892675,NA,297.616763364223,NA,0,NA,0,NA,110.644494756399,NA,108.03803977735,NA,146.487437582075,NA,38.4493978047252,NA,93.4957522189636,NA,131.261330669513,NA,408.261258120622,NA
