"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Constant_price_date","Time_Period","Africa_Fragile_ODA_Constant_Prices","Africa_Fragile_ODA_Current_Prices","Africa_ODA_Bilateral_Constant_Prices","Africa_ODA_Bilateral_Current_Prices","Africa_ODA_Constant_Prices","Africa_ODA_Current_Prices","Bilat_ODA_Ex_Debt_Relief_Constant_Prices","Bilat_ODA_Ex_Debt_Relief_Current_Prices","Fragile_State_ODA_Bilateral_Constant_Prices","Fragile_State_ODA_Bilateral_Current_Prices","Fragile_State_ODA_Constant_Prices","Fragile_State_ODA_Current_Prices","GNI_Constant_Prices","GNI_Current_Prices","IA_Bilateral_ODA_Constant_Prices","IA_Bilateral_ODA_Current_Prices","IA6_Debt_Relief_Constant_Prices","IA6_Debt_Relief_Current_Prices","IA82_In_Donor_Refugee_Cost_Constant_Prices","IA82_In_Donor_Refugee_Cost_Current_Prices","IB_Multilateral_ODA_Constant_Prices","IB_Multilateral_ODA_Current_Prices","LDC_ODA_Bilateral_Constant_Prices","LDC_ODA_Bilateral_Current_Prices","LDC_ODA_Constant_Prices","LDC_ODA_Current_Prices","LDC_ODA_Imputed_Multilateral_Constant_Prices","LDC_ODA_Imputed_Multilateral_Current_Prices","SSA_ODA_Bilateral_Constant_Prices","SSA_ODA_Bilateral_Current_Prices","SSA_ODA_Constant_Prices","SSA_ODA_Current_Prices","Total_ODA_ONE_Constant_Prices","Total_ODA_ONE_Current_Prices"
"Australia","Donor","DAC","Non-EU","2018-01-02",2016,2013,367.303508142408,NA,245.254882848198,NA,453.030450118112,NA,3223.71837775009,NA,1228.44983056809,NA,1530.20338316863,NA,1137713.15341009,NA,3223.71837775009,NA,0,NA,266.146648932362,NA,540.948347108963,NA,772.863266265636,NA,1009.51748527777,NA,236.654219012136,NA,240.585507088963,NA,441.912518817837,NA,3764.66672485905,NA
"Australia","Donor","DAC","Non-EU","2018-01-02",2016,2014,324.420026994057,NA,152.142435397771,NA,415.941200696049,NA,2903.48786387904,NA,1145.79496435181,NA,1510.27781037729,NA,1157226.18884984,NA,2903.48786387904,NA,0,NA,0,NA,733.804437336921,NA,735.223691957673,NA,1011.43056051926,NA,276.206868561585,NA,136.289942265386,NA,386.917028714924,NA,3637.29230121596,NA
"Australia","Donor","DAC","Non-EU","2018-01-02",2016,2015,295.515763240707,NA,102.633857141788,NA,362.55545317222,NA,2750.11037749248,NA,1063.81666414491,NA,1403.88526168091,NA,1202597.51040646,NA,2757.93668509136,NA,7.82630759888071,NA,0,NA,742.968115232028,NA,680.167257713225,NA,932.974028653766,NA,252.806770940541,NA,91.2000325959198,NA,336.36087178493,NA,3493.07849272451,NA
"Australia","Donor","DAC","Non-EU","2018-01-02",2016,2016,300.56,NA,76.7,NA,357.77,NA,2282.88,NA,878.08,NA,1277.16,NA,1232953.99,NA,2290.45,NA,7.57,NA,0,NA,987.07,NA,534.41,NA,838.63,NA,304.22,NA,68.49,NA,332.07,NA,3269.95,NA
"Australia","Donor","DAC","Non-EU","2018-01-02",NA,2007,NA,159.81,NA,74.77,NA,204.76,NA,1976.38,NA,811.34,NA,1021.63,NA,827212.18,NA,2268.07,NA,291.69,NA,0,NA,400.45,NA,511.59,NA,675.06,NA,163.47,NA,66.03,NA,189.77,NA,2376.83
"Australia","Donor","DAC","Non-EU","2018-01-02",NA,2008,NA,143.14,NA,69.9,NA,185.93,NA,2396.88,NA,1012.22,NA,1158.94,NA,934808.31,NA,2652.98,NA,256.1,NA,0,NA,301.1,NA,627.62,NA,745.28,NA,117.66,NA,65.2,NA,170.62,NA,2697.98
"Australia","Donor","DAC","Non-EU","2018-01-02",NA,2009,NA,191.16,NA,93.8,NA,228.61,NA,2308.82,NA,970.05,NA,1154.82,NA,940528.91,NA,2311.78,NA,2.96,NA,1.19,NA,449.83,NA,568.14,NA,709.14,NA,141,NA,88.38,NA,219.71,NA,2758.65
"Australia","Donor","DAC","Non-EU","2018-01-02",NA,2010,NA,329.6,NA,189.82,NA,429.31,NA,3279.53,NA,1392.22,NA,1715.73,NA,1185552.19,NA,3287.1,NA,7.57,NA,5.53,NA,538.99,NA,852.1,NA,1105.39,NA,253.29,NA,150.51,NA,379.36,NA,3818.52
"Australia","Donor","DAC","Non-EU","2018-01-02",NA,2011,NA,478.39,NA,388,NA,599.88,NA,4296.02,NA,1754.7,NA,2025.32,NA,1450350.8,NA,4308.77,NA,12.75,NA,0.02,NA,674.14,NA,1118.05,NA,1343.33,NA,225.28,NA,302.17,NA,509.23,NA,4970.16
"Australia","Donor","DAC","Non-EU","2018-01-02",NA,2012,NA,565.64,NA,392.93,NA,735.14,NA,4531.66,NA,1851.07,NA,2304.12,NA,1496885.09,NA,4540.05,NA,8.39,NA,153.73,NA,862.64,NA,1247.56,NA,1579.51,NA,331.95,NA,368.29,NA,700.92,NA,5394.3
