"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices","Total_ODA_ONE_National currency"
"Latvia","Donor","Non-DAC","EU","2018-04-10",2010,0,0,0,0,0,0,0,0,0,1.526656,1.6,1.206595,0.228998409207161,0.24,0.180989278772379,0.228998409207161,0.24,0.180989278772379,23410.698092,24535.4,18502.684919,1.526656,1.6,1.206595,0,0,0,0,0,0,13.396407,14.04,10.587873,0.228998409207161,0.24,0.180989278772379,0.228998409207161,0.24,0,0,0,0.180989278772379,0,0,0,0,0,0,14.923063,15.64,11.794468
"Latvia","Donor","Non-DAC","EU","2018-04-10",2011,0.0085450914793518,0.01,0.00718550026136958,0.0085450914793518,0.01,0.00718550026136958,0.0085450914793518,0.01,0.00718550026136958,1.085227,1.27,0.912559,0.136721463669629,0.16,0.114968004181913,0.136721463669629,0.16,0.114968004181913,24134.072484,28243.2,20294.15136,1.085227,1.27,0.912559,0,0,0,0,0,0,15.261533,17.86,12.833303,0.128176372190277,0.15,0.107782503920544,0.128176372190277,0.15,0,0,0,0.107782503920544,0,0,0,0,0,0,16.34676,19.13,13.745862
"Latvia","Donor","Non-DAC","EU","2018-04-10",2012,5.11961255329228,5.7,4.46070038370441,0,0,0,7.8680361345334,8.76,6.85539216864045,1.041886,1.16,0.907792,0.296398621506395,0.33,0.258251074846045,7.09560336333491,7.9,6.18237421601137,25391.221253,28269.71,22123.281382,1.041886,1.16,0.907792,0,0,0,0,0,0,17.918644,19.95,15.612451,0.242507963050687,0.27,0.211296333964946,4.67052373282804,5.2,4.42801576977736,4.93,3.85811454239697,4.06941087636191,0,0,0,5.82917288962577,6.49,5.07893780530554,18.96053,21.11,16.520243
"Latvia","Donor","Non-DAC","EU","2018-04-10",2013,4.90211016526138,5.76,4.34374275885329,0.025531823777403,0.03,0.0226236602023609,7.39571828752108,8.69,6.5533202386172,1.234038,1.45,1.093477,0.25531823777403,0.3,0.226236602023609,7.31061220826307,8.59,6.47790803794266,26417.437262,31040.6,23408.399353,1.234038,1.45,1.093477,0,0,0,0,0,0,18.953124,22.27,16.794297,0.187233374367622,0.22,0.16590684148398,5.23402387436762,6.15,5.0467905,5.93,4.4719435,4.63785034148398,0.025531823777403,0.03,0.0226236602023609,5.75317095784149,6.76,5.09786476559865,20.187162,23.72,17.887774
"Latvia","Donor","Non-DAC","EU","2018-04-10",2014,4.42105963736697,5.29,3.987073,0,0,0,7.06199507292077,8.45,6.368765,1.72998,2.07,1.560159,0.200577374852188,0.24,0.180888,6.45190555774537,7.72,5.818564,26420.603689,31613.46,23827.064802,1.72998,2.07,1.560159,0,0,0,0,0,0,19.47272,23.3,17.56121,0.183862593614505,0.22,0.165814,4.6717813559322,5.59,4.4879187623177,5.37,4.047369,4.213183,0,0,0,5.20665435553804,6.23,4.695551,21.2027,25.37,19.121369
"Latvia","Donor","Non-DAC","EU","2018-04-10",2015,4.30842239490721,4.31,3.885465,0.0699743776435045,0.07,0.063105,7.02742678334053,7.03,6.337545,2.209191,2.21,1.992315,0.319882869227449,0.32,0.28848,6.68755123478636,6.69,6.031035,27029.053042,27038.95,24375.613425,2.209191,2.21,1.992315,0,0,0,0.359868,0.36,0.32454,20.952328,20.96,18.89544,0.139948755287009,0.14,0.12621,4.60831258480794,4.61,4.46836382952093,4.47,4.029705,4.155915,0.0599780379801467,0.06,0.05409,5.20809296460941,5.21,4.696815,23.161519,23.17,20.887755
"Latvia","Donor","Non-DAC","EU","2018-04-10",2016,5.46,5.46,4.937478,0,0,0,9.09,9.09,8.220087,3.39,3.39,3.065577,0.07,0.07,0.063301,8.41,8.41,7.605163,27758.61,27758.61,25102.111023,3.39,3.39,3.065577,0,0,0,1.76,1.76,1.591568,26.79,26.79,24.226197,0.06,0.06,0.054258,5.95,5.95,5.89,5.89,5.326327,5.380585,0,0,0,6.17,6.17,5.579531,30.18,30.18,27.291774
"Latvia","Donor","Non-DAC","EU","2018-04-10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.578023,4.79,4.249209,NA,NA,NA,NA,NA,NA,28768.256789,30100.32,26701.993872,4.578023,4.79,4.249209,0,0,0,0.821941,0.86,0.762906,26.426374,27.65,24.528315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.004397,32.44,28.777524
"Liechtenstein","Donor","Non-DAC","EU","2018-04-10",2007,0.306756701168614,0.32,NA,0,0,NA,0.412204317195326,0.43,NA,15.980107,16.67,NA,0,0,NA,0.440962757929883,0.46,NA,3951.745254,4122.35,NA,15.980107,16.67,NA,0,0,NA,0,0,NA,1.246199,1.3,NA,0,0,NA,0.325928994991653,0.34,0.325928994991653,0.34,NA,NA,0,0,NA,0.345101288814691,0.36,NA,17.226306,17.97,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-04-10",2008,0,0,NA,0,0,NA,0,0,NA,19.098864,20.86,NA,0,0,NA,0,0,NA,4132.020066,4513.04,NA,19.098864,20.86,NA,0,0,NA,0,0,NA,2.591073,2.83,NA,0,0,NA,0,0,0,0,NA,NA,0,0,NA,0,0,NA,21.689937,23.69,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-04-10",2009,0,0,NA,0,0,NA,0,0,NA,19.988547,21.1,NA,0,0,NA,0,0,NA,3679.408374,3884,NA,19.988547,21.1,NA,0,0,NA,0,0,NA,4.869248,5.14,NA,0,0,NA,0,0,0,0,NA,NA,0,0,NA,0,0,NA,24.857795,26.24,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-04-10",2010,0,0,NA,0,0,NA,0,0,NA,20.461995,21.8,NA,0,0,NA,0,0,NA,4023.879524,4287,NA,20.461995,21.8,NA,0,0,NA,0,0,NA,4.533552,4.83,NA,0,0,NA,0,0,0,0,NA,NA,0,0,NA,0,0,NA,24.995547,26.63,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-04-10",2011,0,0,NA,0,0,NA,0,0,NA,22.846016,25.81,NA,0,0,NA,0,0,NA,4015.977269,4537,NA,22.846016,25.81,NA,0,0,NA,0,0,NA,5.001162,5.65,NA,0,0,NA,0,0,0,0,NA,NA,0,0,NA,0,0,NA,27.847178,31.46,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-04-10",2012,0,0,NA,0,0,NA,0,0,NA,21.662747,23.9,NA,0,0,NA,0,0,NA,3452.443636,3809,NA,21.662747,23.9,NA,0,0,NA,0,0,NA,4.260038,4.7,NA,0,0,NA,0,0,0,0,NA,NA,0,0,NA,0,0,NA,25.922785,28.6,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-04-10",2013,0,0,NA,0,0,NA,0,0,NA,21.368366,23.71,NA,0,0,NA,0,0,NA,3960.94335,4395,NA,21.368366,23.71,NA,0,0,NA,0,0,NA,4.100635,4.55,NA,0,0,NA,0,0,0,0,NA,NA,0,0,NA,0,0,NA,25.469001,28.26,NA
"Liechtenstein","Donor","Non-DAC","EU","2018-04-10",2014,0,0,0,0,0,0,0,0,0,20.79787,23.17,21.20055,0,0,0,0,0,0,4866.001529,5421,4960.215,20.79787,23.17,21.20055,0,0,0,0,0,0,3.734102,4.16,3.8064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.531972,27.33,25.00695
"Liechtenstein","Donor","Non-DAC","EU","2018-04-10",2015,0,0,0,0,0,0,0,0,0,18.967008,19.05,18.331815,0,0,0,0,0,0,0,0,0,18.967008,19.05,18.331815,0,0,0,0,0,0,5.147477,5.17,4.975091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.114485,24.22,23.306906
"Liechtenstein","Donor","Non-DAC","EU","2018-04-10",2016,0,0,0,0,0,0,0,0,0,18.86,18.86,18.578986,0,0,0,0,0,0,0,0,0,18.86,18.86,18.578986,0,0,0,0,0,0,5.71,5.71,5.624921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.57,24.57,24.203907
"Lithuania","Donor","Non-DAC","EU","2018-04-10",2007,7.61635662289916,7.75,5.66301015231092,0.402929834243697,0.41,0.299591504831933,11.1346220048319,11.33,8.27895548718487,23.350275,23.76,17.361693,18.3185661226891,18.64,13.620452805042,29.0404307363445,29.55,21.592509677521,41692.977493,42424.56,31000.092662,23.350275,23.76,17.361693,0,0,0,0,0,0,23.428896,23.84,17.42015,18.2006354394958,18.52,13.5327674865546,26.249404567437,26.71,8.04876912794118,8.19,5.9845229867647,19.5172904733193,0.402929834243697,0.41,0.299591504831933,9.12980039054622,9.29,6.78830507289916,46.779171,47.6,34.781843
"Lithuania","Donor","Non-DAC","EU","2018-04-10",2008,8.96258313022575,10.71,7.31069950522575,0.0334736998327759,0.04,0.0273041998327759,12.6363216868729,15.1,10.3073354368729,12.443848,14.87,10.150336,8.44374078281773,10.09,6.88748440781773,21.1302730194398,25.25,17.2357761444398,36395.853583,43491.88,29687.774747,12.443848,14.87,10.150336,0,0,0,0,0,0,27.590697,32.97,22.505487,8.42700393290134,10.07,6.87383230790134,18.5444297073579,22.16,10.1174257744565,12.09,8.25269439945652,15.1265267073579,0.0334736998327759,0.04,0.0273041998327759,10.9291629954013,13.06,8.91482124540134,40.034545,47.84,32.655823
"Lithuania","Donor","Non-DAC","EU","2018-04-10",2009,6.56340188898095,7.2,5.17729670256835,0.0273475078707539,0.03,0.0215720695940348,11.0210456719138,12.09,8.69354404639602,7.228858,7.93,5.702217,5.41480655840928,5.94,4.27126977961889,15.2963727357084,16.78,12.0659775929301,29764.097934,32650.98,23478.307538,7.228858,7.93,5.702217,0,0,0,0,0,0,25.779584,28.28,20.335271,5.39657488649544,5.92,4.25688839988953,13.0812245981773,14.35,7.68464971168186,8.43,6.06175155592378,10.3186399558133,0.0273475078707539,0.03,0.0215720695940348,9.44400605136703,10.36,7.44955469980668,33.008442,36.21,26.037488
"Lithuania","Donor","Non-DAC","EU","2018-04-10",2010,5.55294578443114,5.94,4.48442078443114,0.0093483935764834,0.01,0.00754952994011976,8.05831526292869,8.62,6.50769480838323,15.331365,16.4,12.381229,12.2183504044638,13.07,9.86723563173653,20.4636335389222,21.89,16.5259210389222,32811.132067,35098.15,26497.453637,15.331365,16.4,12.381229,0,0,0,0,0,0,19.014633,20.34,15.355744,12.1809568301579,13.03,9.83703751197605,18.6780903658138,19.98,6.49713353565596,6.95,5.24692330838323,15.0839608203593,0.0093483935764834,0.01,0.00754952994011976,6.95520482090365,7.44,5.6168502754491,34.345998,36.74,27.736973
"Lithuania","Donor","Non-DAC","EU","2018-04-10",2011,5.93744631617647,7.02,5.04562513583591,0.0338316029411765,0.04,0.0287500007739938,9.95494916544118,11.77,8.45968772774768,17.380986,20.55,14.770313,12.2893297683824,14.53,10.4434377811533,20.9079306176471,24.72,17.7675004783282,34929.311277,41297.85,29682.829687,17.380986,20.55,14.770313,0,0,0,0,0,0,26.329445,31.13,22.374688,12.1709191580882,14.39,10.3428127784443,18.8526607389706,22.29,6.68174158088235,7.9,5.67812515286378,16.020937931308,0,0,0,7.81510027941176,9.24,6.64125017879257,43.710431,51.68,37.145001
"Lithuania","Donor","Non-DAC","EU","2018-04-10",2012,7.30439216798305,8.16,6.37475516856097,0,0,0,11.386258379503,12.72,9.9371183509921,19.746923,22.06,17.233713,15.4949789739934,17.31,13.5229181333077,25.2162656093238,28.17,22.006967291466,36540.4007,40820.6,31889.869132,19.746923,22.06,17.233713,0,0,0,0,0,0,26.720111,29.85,23.319417,15.4949789739934,17.31,13.5229181333077,21.8505162770179,24.41,6.35553730302447,7.1,5.54666197264496,19.0695801059526,0,0,0,8.25324703294163,9.22,7.20284836447698,46.467034,51.91,40.55313
"Lithuania","Donor","Non-DAC","EU","2018-04-10",2013,6.76685673080738,7.94,5.98167846300337,0.0170449791707994,0.02,0.0150672001586987,10.6190220234081,12.46,9.38686569886927,15.093329,17.71,13.342006,8.79520925213251,10.32,7.77467528188851,18.3318750981948,21.51,16.2047737706804,37737.669653,44280.1,33358.856136,15.093329,17.71,13.342006,0,0,0,0,0,0,27.868541,32.7,24.634872,8.79520925213251,10.32,7.77467528188851,15.6984258163063,18.42,6.90321656417377,8.1,6.10221606427296,13.8768913461615,0,0,0,8.07079763737354,9.47,7.13431927514382,42.96187,50.41,37.976878
"Lithuania","Donor","Non-DAC","EU","2018-04-10",2014,7.71520450296248,9.15,6.8900598321264,0.0337276699583059,0.04,0.0301204801404433,12.4117825446566,14.72,11.0843366916831,5.430155,6.44,4.849397,0.193934102260259,0.23,0.173192760807549,11.0458119113452,13.1,9.86445724599517,39382.678747,46706.67,35170.68299,5.430155,6.44,4.849397,0,0,0,0,0,0,32.994093,39.13,29.46536,0.0843191748957648,0.1,0.0753012003511082,7.86697901777485,9.33,7.78265984287909,9.23,6.95030079240729,7.02560199275839,0.0252957524687294,0.03,0.0225903601053325,9.07274321878429,10.76,8.10240915777924,38.424248,45.57,34.314757
"Lithuania","Donor","Non-DAC","EU","2018-04-10",2015,8.71524903595926,8.66,7.80699,0.0301913938890044,0.03,0.027045,13.767275613386,13.68,12.33252,9.872586,9.81,8.843715,0.150956969445022,0.15,0.135225,13.0628097559759,12.98,11.70147,39867.765721,39615.03,35712.949545,9.872586,9.81,8.843715,0,0,0,0.805104,0.8,0.7212,38.544346,38.3,34.52745,0.0603827877780087,0.06,0.05409,9.14799234836832,9.09,9.08760956059031,9.03,8.140545,8.194635,0.0201275959260029,0.02,0.01803,10.4260946896695,10.36,9.33954,48.416932,48.11,43.371165
"Lithuania","Donor","Non-DAC","EU","2018-04-10",2016,9.53,9.53,8.617979,0.02,0.02,0.018086,15.51,15.51,14.025693,13.88,13.88,12.551684,0.21,0.21,0.189903,14.67,14.67,13.266081,41074.09,41074.09,37143.299587,13.88,13.88,12.551684,0,0,0,1.48,1.48,1.338364,43.28,43.28,39.138104,0.07,0.07,0.063301,10.3,10.3,10.23,10.23,9.250989,9.31429,0.02,0.02,0.018086,10.74,10.74,9.712182,57.16,57.16,51.689788
"Lithuania","Donor","Non-DAC","EU","2018-04-10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.54294,13.34,11.833914,NA,NA,NA,NA,NA,NA,42761.308911,45478.64,40344.101544,12.54294,13.34,11.833914,0,0,0,3.638769,3.87,3.433077,43.101078,45.84,40.664664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.644018,59.18,52.498578
"Luxembourg","Donor","DAC","EU","2018-04-10",2007,99.9657955065108,102.04,74.54022,128.817154558517,131.49,96.053445,172.471367100365,176.05,128.604525,248.298029,253.45,185.145225,91.805122470748,93.71,68.455155,145.305044977712,148.32,108.34776,39815.884635,40642.03,29689.002915,248.298029,253.45,185.145225,0,0,0,0,0,0,119.598435,122.08,89.17944,102.963593764546,105.1,76.77555,143.179155363353,146.15,40.215561598807,41.05,29.987025,106.762575,115.454419839693,117.85,86.089425,153.181612949804,156.36,114.22098,367.896464,375.53,274.324665
"Luxembourg","Donor","DAC","EU","2018-04-10",2008,103.082893270635,115.23,79.888959,122.316445343174,136.73,94.794909,170.641863155199,190.75,132.246975,249.168431,278.53,193.104849,93.1261753837812,104.1,72.17253,145.262520257621,162.38,112.578054,38345.172375,42863.7,29717.40321,249.168431,278.53,193.104849,0,0,0,0,0,0,122.039124,136.42,94.579986,105.212002755874,117.61,81.539013,146.219724942162,163.45,41.0077221862875,45.84,31.780872,113.319885,112.708615145078,125.99,87.348867,154.074170858296,172.23,119.407059,371.207555,414.95,287.684835
"Luxembourg","Donor","DAC","EU","2018-04-10",2009,102.403812052685,112.03,80.448743,122.81510477014,134.36,96.483916,171.93749037856,188.1,135.07461,243.143926,266,191.0146,89.6981708179056,98.13,70.467153,143.464056963928,156.95,112.705795,36352.229041,39769.42,28558.420502,243.143926,266,191.0146,0,0,0,0,0,0,135.950361,148.73,106.803013,99.3599426057917,108.7,78.05747,139.871742571649,153.02,40.5117999658573,44.32,31.826192,109.883662,115.996105949172,126.9,91.12689,161.873525630724,177.09,127.168329,379.094287,414.73,297.817613
"Luxembourg","Donor","DAC","EU","2018-04-10",2010,97.9729289288304,105.62,79.7431,117.758599957537,126.95,95.84725,171.049120379439,184.4,139.222,243.040022,262.01,197.81755,89.5410606845294,96.53,72.88015,148.406446689297,159.99,120.79245,35691.968363,38477.83,29050.76165,243.040022,262.01,197.81755,0,0,0,0,0,0,130.5038,140.69,106.22095,95.2643419900671,102.7,77.5385,141.913258822399,152.99,46.6489168323318,50.29,37.96895,115.50745,105.096883617085,113.3,85.5415,152.793986490787,164.72,124.3636,373.543822,402.7,304.0385
"Luxembourg","Donor","DAC","EU","2018-04-10",2011,89.5779492151228,106.25,76.414999948074,105.293083082134,124.89,89.8208879389643,147.531720782629,174.99,125.85280791448,235.827335,279.719,201.173905,91.6603730698179,108.72,78.1914239468668,135.163640641586,160.32,115.302143921649,35461.570512,42061.6,30250.70272,235.827335,279.719,201.173905,0,0,0,0,0,0,109.194045,129.517,93.148626,92.4697361874322,109.68,78.8818559463977,127.938388643717,151.75,35.4686524562844,42.07,30.2567439794397,109.138599925837,98.8266090070277,117.22,84.3046239427128,136.723350816155,162.17,116.632663920745,345.02138,409.236,294.322531
"Luxembourg","Donor","DAC","EU","2018-04-10",2012,91.7024692495301,103.12,80.22736,96.9314308397865,109,84.802,143.138377137358,160.96,125.22688,246.010193,276.64,215.22592,83.4054944813172,93.79,72.96862,131.924566652131,148.35,115.4163,35350.635001,39752.01,30927.06378,246.010193,276.64,215.22592,0,0,0,0.026678,0.03,0.02334,108.838879,122.39,95.21942,93.5788483235847,105.23,81.86894,129.541298444328,145.67,35.9624501207428,40.44,31.46232,113.33126,90.7954044838734,102.1,79.4338,131.471034269303,147.84,115.01952,354.849072,399.03,310.44534
"Luxembourg","Donor","DAC","EU","2018-04-10",2013,97.4685327718356,115.11,86.7008521608723,106.122241441179,125.33,94.3985561751552,148.239214945402,175.07,131.86272424467,253.017676,298.813,225.065952,99.839411859327,117.91,88.8098121647854,147.892050507591,174.66,131.553912244097,36293.45942,42862.45,32283.99734,253.017676,298.813,225.065952,0,0,0,0.291002,0.343672,0.258854,110.507521,130.509,98.299379,101.753049979945,120.17,90.5120441679439,137.663400730128,162.58,35.9103507501828,42.41,31.9432120592702,122.455256227214,98.7725162699559,116.65,87.8607801630245,135.665088356385,160.22,120.677704223916,363.525197,429.322,323.365331
"Luxembourg","Donor","DAC","EU","2018-04-10",2014,98.9015525209111,118.66,89.434042,116.229744640494,139.45,105.103465,154.536801389703,185.41,139.743517,250.404462,300.43,226.434091,102.702252668352,123.22,92.870914,145.893542501772,175.04,131.927648,33142.630425,39763.83,29969.998671,250.404462,300.43,226.434091,0,0,0,0,0,0,102.343853,122.79,92.546823,112.704095161618,135.22,101.915314,143.584783859577,172.27,30.8806886979585,37.05,27.924585,129.839899,106.027865297363,127.21,95.878177,139.45068896236,167.31,126.101547,352.748315,423.22,318.980914
"Luxembourg","Donor","DAC","EU","2018-04-10",2015,105.131829549383,106.84,96.31626,125.86495991821,127.91,115.310865,165.373037009259,168.06,151.50609,258.480241,262.68,236.80602,113.358168888889,115.2,103.8528,155.778921152778,158.31,142.716465,37496.530497,38105.77,34352.351655,258.480241,262.68,236.80602,0,0,0,0,0,0,98.597991,100.2,90.3303,119.48856291821,121.43,109.469145,151.527989819444,153.99,32.0394269012346,32.56,29.35284,138.821985,118.976876739198,120.91,109.000365,153.997859645062,156.5,141.08475,357.078232,362.88,327.13632
"Luxembourg","Donor","DAC","EU","2018-04-10",2016,115.08,115.08,104.066844,122.74,122.74,110.993782,168.53,168.53,152.401679,274.83,274.83,248.528769,121.52,121.52,109.890536,170.62,170.62,154.291666,39073.95,39073.95,35334.572985,274.83,274.83,248.528769,0,0,0,0,0,0,116.2,116.2,105.07966,126.52,126.52,114.412036,164.34,164.34,37.82,37.82,34.200626,148.612662,115.97,115.97,104.871671,154.78,154.78,139.967554,391.03,391.03,353.608429
"Luxembourg","Donor","DAC","EU","2018-04-10",2017,NA,NA,NA,99.1703220702506,103.11,91.468881,143.278041867434,148.969959848329,132.151251381453,297.616763,309.44,274.504224,NA,NA,NA,NA,NA,NA,40971.817989,42599.48,37789.998708,297.616763,309.44,274.504224,0,0,0,0,0,0,110.644495,115.04,102.051984,108.03803974543,112.33,99.647943,146.487437538795,152.306853192687,38.4493977933652,39.9768531926869,35.4634664672325,135.111409467233,93.49575219134,97.21,86.234991,131.261330630731,136.475868170996,121.06774265449,408.261258,424.48,376.556208
"Malta","Donor","Non-DAC","EU","2018-04-10",2009,0,0,0,0,0,0,0,0,0,7.161773,7.56,5.428836,0,0,0,0,0,0,7123.728699,7519.84,5399.997104,7.161773,7.56,5.428836,0,0,0,0,0,0,5.807099,6.13,4.401953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.968872,13.69,9.830789
"Malta","Donor","Non-DAC","EU","2018-04-10",2010,0,0,0,0,0,0,0,0,0,7.884439,8.4,6.342,0,0,0,0,0,0,7210.6194,7682.12,5800.0006,7.884439,8.4,6.342,0,0,0,0,0,0,5.068568,5.4,4.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.953007,13.8,10.419
"Malta","Donor","Non-DAC","EU","2018-04-10",2011,0,0,0,0,0,0,0,0,0,11.772647,13.3,9.56536,0,0,0,0,0,0,7138.401809,8064.52,5800.002784,11.772647,13.3,9.56536,0,0,0,0,0,0,5.895175,6.66,4.789872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.667822,19.96,14.355232
"Malta","Donor","Non-DAC","EU","2018-04-10",2012,1.55899263293864,1.72,1.33816,0.552898550053821,0.61,0.47458,2.97296269537137,3.28,2.55184,10.650095,11.75,9.1415,0,0,0,2.07563554036598,2.29,1.78162,7186.348895,7928.53,6168.39634,10.650095,11.75,9.1415,0,0,0,0,0,0,6.190651,6.83,5.31374,0,0,0,1.35052268783638,1.49,1.35052268783638,1.49,1.15922,1.15922,0,0,0,1.74027084607104,1.92,1.49376,16.840746,18.58,14.45524
"Malta","Donor","Non-DAC","EU","2018-04-10",2013,1.2256843592552,1.36,1.024352,0.342470629791895,0.38,0.286216,2.37926963855422,2.64,1.988448,10.787825,11.97,9.015804,0,0,0,1.73037791894852,1.92,1.446144,8062.804357,8946.36,6738.398352,10.787825,11.97,9.015804,0,0,0,0,0,0,5.66879,6.29,4.737628,0,0,0,1.24370912924425,1.38,1.24370912924425,1.38,1.039416,1.039416,0,0,0,1.48704352409639,1.65,1.24278,16.456615,18.26,13.753432
"Malta","Donor","Non-DAC","EU","2018-04-10",2014,1.75933652523273,1.96,1.477252,0.314167236648702,0.35,0.263795,2.63900478784909,2.94,2.215878,11.516473,12.83,9.669971,0.448810338069574,0.5,0.37685,2.64798099461049,2.95,2.223415,9085.446906,10121.7,7628.72529,11.516473,12.83,9.669971,0,0,0,9.613517,10.71,8.072127,6.803965,7.58,5.713046,0.269286202841744,0.3,0.22611,1.75933652523273,1.96,1.49005032239098,1.66,1.251142,1.477252,0.30519102988731,0.34,0.256258,2.01067031455169,2.24,1.688288,18.320438,20.41,15.383017
"Malta","Donor","Non-DAC","EU","2018-04-10",2015,2.03111251901026,2.04,1.83906,0.288736583584792,0.29,0.261435,3.11636381593241,3.13,2.821695,7.98506,8.02,7.23003,0.348475187085093,0.35,0.315525,2.9371480054315,2.95,2.659425,9462.206978,9503.61,8567.504415,7.98506,8.02,7.23003,0,0,0,2.578717,2.59,2.334885,8.512751,8.55,7.707825,0.22899798008449,0.23,0.207345,2.05102538684369,2.06,1.8220274067592,1.83,1.649745,1.85709,0.268823715751358,0.27,0.243405,2.3497184043452,2.36,2.12754,16.497811,16.57,14.937855
"Malta","Donor","Non-DAC","EU","2018-04-10",2016,1.69,1.69,1.528267,1.79,1.79,1.618697,1.79,1.79,1.618697,10.62,10.62,9.603666,2.24,2.24,2.025632,2.24,2.24,2.025632,10317.15,10317.15,9329.798745,10.62,10.62,9.603666,0,0,0,5.59,5.59,5.055037,9.93,9.93,8.979699,1.04,1.04,0.940472,1.04,1.04,0,0,0,0.940472,1.07,1.07,0.967601,1.07,1.07,0.967601,20.55,20.55,18.583365
"Malta","Donor","Non-DAC","EU","2018-04-10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.773394,16.04,14.229084,NA,NA,NA,NA,NA,NA,11588.704586,11784.58,10454.100918,15.773394,16.04,14.229084,0,0,0,12.36107,12.57,11.150847,9.725615,9.89,8.773419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.499009,25.93,23.002503
"Multilaterals, Total","Group","Group","Group","2018-04-10",2007,NA,11026.08,NA,NA,13829.92,NA,NA,13926.47,NA,10122.321457,11326.67,NA,NA,15993.91,NA,NA,16156.22,NA,0,0,NA,10122.321457,11326.67,NA,0,0,NA,0,0,NA,274.857587,307.56,NA,NA,12639.19,NA,NA,12722.76,NA,83.57,NA,NA,NA,12693.76,NA,NA,12785.81,NA,10397.179044,11634.23,NA
"Multilaterals, Total","Group","Group","Group","2018-04-10",2008,NA,12650.04,NA,NA,16353.94,NA,NA,16437.69,NA,10597.627912,12739.52,NA,NA,17763.24,NA,NA,17914.15,NA,0,0,NA,10704.506604,12868,NA,106.878692,128.48,NA,0,0,NA,273.676999,328.99,NA,NA,14727.57,NA,NA,14803.07,NA,75.5,NA,NA,NA,15105.07,NA,NA,15187.52,NA,10871.304911,13068.51,NA
"Multilaterals, Total","Group","Group","Group","2018-04-10",2009,NA,14365.33,NA,NA,19065.3,NA,NA,19249.9,NA,11093.003918,13000.41,NA,NA,19546.94,NA,NA,19791.53,NA,0,0,NA,11228.40256,13159.09,NA,135.398642,158.68,NA,0,0,NA,360.255273,422.2,NA,NA,15214.42,NA,NA,15348.47,NA,134.05,NA,NA,NA,17123.07,NA,NA,17305.44,NA,11453.259191,13422.61,NA
