"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices","Total_ODA_ONE_National currency"
"Australia","Donor","DAC","Non-EU","2018-04-10",2016,300.56,300.56,404.343368,76.7,76.7,103.18451,357.77,357.77,481.307981,2282.88,2282.88,3071.158464,878.08,878.08,1181.281024,1277.16,1277.16,1718.163348,1232953.99,1232953.99,1658693.002747,2290.45,2290.45,3081.342385,7.57,7.57,10.183921,0,0,0,987.07,987.07,1327.905271,534.41,534.41,718.941773,838.63,838.63,304.22,304.22,409.267166,1128.208939,68.49,68.49,92.139597,332.07,332.07,446.733771,3269.95,3269.95,4399.063735
"Australia","Donor","DAC","Non-EU","2018-04-10",2017,NA,NA,NA,106.581672673617,114.17,148.980433,347.746512423875,372.50512520115,486.081937874981,2205.700108,2362.74,3083.139426,NA,NA,NA,NA,NA,NA,1221644.341337,1308622.12,1707621.004388,2208.510048,2365.75,3087.067175,2.80994,3.01,3.927749,0,0,0,552.092504,591.4,771.71786,582.077643386651,623.52,813.631248,823.825701771037,882.479867427352,241.748058384387,258.959867427352,337.916731005952,1151.54797900595,97.9744814495589,104.95,136.949255,316.239661178123,338.755071214449,442.041492427734,2757.792612,2954.14,3854.857286
"Austria","Donor","DAC","EU","2018-04-10",2007,213.258003749533,226.16,165.20988,58.2272803835058,61.75,45.108375,283.696511355167,300.86,219.77823,376.973314,399.78,292.03929,55.4927198472764,58.85,42.989925,296.44522116545,314.38,229.65459,342387.620429,363101.89,265245.930645,1248.732354,1324.28,967.38654,871.75904,924.5,675.34725,47.289038,50.15,36.634575,456.549026,484.17,353.686185,40.5752206461904,43.03,31.433415,233.26744325946,247.38,192.69222261327,204.35,149.277675,180.71109,54.2103052509757,57.49,41.996445,252.946849601222,268.25,195.956625,833.52234,883.95,645.725475
"Austria","Donor","DAC","EU","2018-04-10",2008,213.218813241581,242.84,168.360972,98.3033204189069,111.96,77.621868,285.611710423957,325.29,225.523557,439.265525,500.29,346.851057,95.1248815129008,108.34,75.112122,296.683565287144,337.9,234.26607,351292.446767,400095.36,277386.113088,1083.154029,1233.63,855.275679,643.888504,733.34,508.424622,39.581223,45.08,31.253964,421.3451,479.88,332.700804,79.5136539579869,90.56,62.785248,241.570137074436,275.13,162.056483116449,184.57,127.962381,190.747629,92.9473874557475,105.86,73.392738,259.534463045951,295.59,204.932547,860.610625,980.17,679.551861
"Austria","Donor","DAC","EU","2018-04-10",2009,256.932730365075,287.89,206.733809,76.3595971031846,85.56,61.440636,364.867859790731,408.83,293.580823,400.147136,448.36,321.967316,78.4658225492285,87.92,63.135352,352.792762212353,395.3,283.86493,337374.906273,378024.48,271459.379088,452.597504,507.13,364.170053,52.450368,58.77,42.202737,36.243142,40.61,29.162041,566.405076,634.65,455.742165,62.0444038173609,69.52,49.922312,285.063334627492,319.41,223.018930810131,249.89,179.446009,229.368321,71.468870219998,80.08,57.505448,317.959720195788,356.27,255.837487,966.552212,1083.01,777.709481
"Austria","Donor","DAC","EU","2018-04-10",2010,261.025675573213,280.71,211.93605,77.1518659909142,82.97,62.64235,357.677055000665,384.65,290.41075,425.241893,457.31,345.26905,76.0267152394497,81.76,61.7288,369.830542869789,397.72,300.2786,348512.841294,374794.7,282969.9985,569.484359,612.43,462.38465,144.242466,155.12,117.1156,33.559248,36.09,27.24795,554.187888,595.98,449.9649,55.3369596856611,59.51,44.93005,292.976237408188,315.07,237.639277722527,255.56,192.9478,237.87785,65.6213954800387,70.57,53.28035,322.434729810166,346.75,261.79625,979.429781,1053.29,795.23395
"Austria","Donor","DAC","EU","2018-04-10",2011,209.457686388054,240.68,173.097056,73.3206335308024,84.25,60.5926,311.010027357897,357.37,257.020504,388.856089,446.82,321.352944,69.7089940156352,80.1,57.60792,286.050552347056,328.69,236.393848,362073.91933,416045.61,299220.002712,426.51287,490.09,352.472728,37.656781,43.27,31.119784,36.551532,42,30.2064,540.684192,621.28,446.824576,54.1049707609494,62.17,44.712664,229.021458990694,263.16,174.916488229744,200.99,144.552008,189.264672,65.314107376697,75.05,53.97596,269.558849018762,309.74,222.765008,929.540281,1068.1,768.17752
"Austria","Donor","DAC","EU","2018-04-10",2012,246.950746705174,267.78,208.33284,66.8421469907798,72.48,56.38944,329.064774962059,356.82,277.60596,396.395696,429.83,334.40774,69.2399061267625,75.08,58.41224,322.452493037061,349.65,272.0277,363911.961736,394606.4,307003.7792,493.938382,535.6,416.6968,97.542686,105.77,82.28906,53.101143,57.58,44.79724,525.800912,570.15,443.5767,47.1620777746755,51.14,39.78692,222.327604808736,241.08,175.165527034061,189.94,147.77332,187.56024,57.7214401235225,62.59,48.69502,280.906704930899,304.6,236.9788,922.196608,999.98,777.98444
"Austria","Donor","DAC","EU","2018-04-10",2013,240.893943305077,274.25,206.5651,75.2766123655246,85.7,64.54924,330.716421490591,376.51,283.587332,437.772589,498.39,375.387348,69.8219126830286,79.49,59.871868,332.156954095952,378.15,284.82258,376206.737018,428299.26,322595.002632,477.202777,543.28,409.198496,39.430188,44.89,33.811148,55.56591,63.26,47.647432,551.803041,628.21,473.167772,56.4618511418427,64.28,48.415696,262.967470361619,299.38,206.505619219776,235.1,177.07732,225.493016,66.0800414032487,75.23,56.663236,289.415297646636,329.49,248.171868,989.57563,1126.6,848.55512
"Austria","Donor","DAC","EU","2018-04-10",2014,216.659801901202,251.35,189.442495,60.511311292876,70.2,52.90974,297.617385328936,345.27,260.229999,454.886456,527.72,397.742564,70.6310092213427,81.94,61.758178,318.115376533275,369.05,278.152985,374210.180851,434126.35,327201.029995,548.747947,636.61,479.812957,93.861491,108.89,82.070393,94.352822,109.46,82.500002,515.389147,597.91,450.644767,43.2199023963647,50.14,37.790518,219.806045294635,255,176.58614289827,204.86,154.402982,192.1935,53.8395513298153,62.46,47.076102,255.681839824685,296.62,223.562494,970.275603,1125.63,848.387331
